"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Qual é a função da técnica de NAT (Network Address Translation) em uma rede?","Criptografar os dados da rede local para a internet.","Traduzir endereços IP privados em endereços IP públicos e vice-versa.","Atribuir endereços IP dinamicamente aos dispositivos da rede.","Bloquear acessos não autorizados como um firewall de aplicação.","B","O NAT mapeia IPs de uma rede privada para IPs públicos, permitindo que múltiplos dispositivos locais acessem a internet usando um único (ou poucos) IP público."
"Informática","Em desenvolvimento web, a tecnologia CSS é responsável primariamente por:","Estruturar a semântica do documento.","Adicionar interatividade e lógica à página web.","Consultar e manipular o banco de dados.","Estilizar e formatar a apresentação visual da página.","D","CSS (Cascading Style Sheets) é a linguagem utilizada para definir o layout, cores, fontes e apresentação visual de documentos HTML."
"Informática","Qual protocolo é amplamente utilizado no gerenciamento e monitoramento de ativos de rede?","SNMP.","DHCP.","RDP.","QUIC.","A","O SNMP (Simple Network Management Protocol) é o protocolo padrão para coleta e organização de informações sobre dispositivos gerenciados em redes IP."
"Informática","O que é um serviço de proxy reverso?","Um servidor que repassa as requisições dos clientes internos para a internet.","Um servidor que se posiciona à frente dos servidores web e encaminha as requisições dos clientes externos para o backend apropriado.","Um protocolo para transferência segura de arquivos.","Um mecanismo exclusivo para tradução de IP.","B","Diferente do proxy de encaminhamento (que protege o cliente), o proxy reverso protege e gerencia os servidores, recebendo requisições externas e as distribuindo."
"Língua Portuguesa","Qual das opções abaixo caracteriza predominantemente a sequência textual injuntiva?","Apresentação de argumentos para convencer o leitor.","Descrição detalhada de cenários e personagens.","Instruções, ordens ou orientações dadas ao interlocutor.","Relato de fatos ocorridos em um tempo e espaço determinados.","C","A sequência injuntiva (ou instrucional) caracteriza-se pelo uso de verbos no imperativo para dar ordens, instruir ou aconselhar, comum em manuais e receitas."
"Língua Portuguesa","Na frase 'Referiu-se ___ pessoa que estava ao seu lado', o espaço deve ser preenchido por:","a","à","á","ha","B","O verbo 'referir-se' exige a preposição 'a' e a palavra 'pessoa' aceita o artigo feminino 'a'. A fusão de ambos exige o uso da crase (à)."
"Língua Portuguesa","Assinale a alternativa onde a concordância verbal está INCORRETA:","Haviam muitas pessoas na sala de espera.","Havia muitas pessoas na sala de espera.","Existiam muitas pessoas na sala de espera.","Pode haver muitas pessoas na sala de espera.","A","O verbo 'haver' no sentido de existir é impessoal e deve permanecer na terceira pessoa do singular (Havia)."
"Língua Portuguesa","Em 'A candidata estava MEIO nervosa antes da prova', a palavra em destaque é:","Adjetivo, concordando com a candidata.","Substantivo fracionário.","Pronome indefinido.","Advérbio de intensidade e, portanto, invariável.","D","No contexto, 'meio' significa 'um pouco'. Atuando como advérbio de intensidade, modifica o adjetivo 'nervosa' e é invariável (não existe 'meia nervosa')."
"Língua Portuguesa","Qual é o tipo de relação semântica estabelecida entre 'veículo' e 'carro', sabendo que o primeiro é um termo mais abrangente e o segundo mais específico?","Hiperonímia e Hiponímia.","Antonímia e Sinonímia.","Homofonia e Paronímia.","Polissemia e Ambiguidade.","A","Veículo é hiperônimo (sentido mais geral) e carro é hipônimo (sentido mais específico dentro da categoria)."
"Língua Portuguesa","Em qual alternativa o uso da vírgula está INCORRETO?","O aluno, que estudou bastante, foi aprovado.","Durante a noite, ocorreu uma tempestade.","O professor entregou, as provas corrigidas aos alunos.","Estudei muito, mas não fui bem na prova.","C","É regra básica de pontuação: não se separa com vírgula o verbo de seus complementos diretos ou indiretos."
"Língua Portuguesa","Na oração 'Ela chora porque se machucou', o elemento de coesão 'porque' estabelece uma relação de:","Condição.","Consequência.","Causa.","Concessão.","C","A conjunção 'porque' introduz uma oração subordinada adverbial causal, indicando a causa ou o motivo do choro."
"Língua Portuguesa","Segundo o Novo Acordo Ortográfico, assinale a palavra cuja acentuação foi abolida:","História.","Voo.","Amável.","Máquina.","B","Com o novo acordo, não se acentuam mais as palavras com o hiato 'oo' (como voo, enjoo, perdoo)."
"Língua Portuguesa","Sobre gêneros textuais, qual das opções melhor define uma crônica?","Texto longo, com múltiplos núcleos narrativos e grande salto temporal.","Texto essencialmente argumentativo utilizado em teses acadêmicas.","Texto narrativo curto, inspirado em fatos do cotidiano, muitas vezes com tom reflexivo ou humorístico.","Documento oficial normativo da administração pública.","C","A crônica é um gênero textual que relata o cotidiano, sendo ágil, curta e comumente publicada em jornais ou revistas."
"Língua Portuguesa","A regência do verbo 'implicar' no sentido de acarretar/resultar exige:","Preposição 'em' (implicar em).","Preposição 'com' (implicar com).","Uso como transitivo indireto com preposição 'a'.","Ausência de preposição (transitivo direto).","D","No sentido de acarretar, o verbo 'implicar' é transitivo direto (Ex: A decisão implicará demissões, e não 'implicará em demissões')."
"Língua Portuguesa","'Retificar' e 'Ratificar' são, respectivamente:","Sinônimos que significam confirmar.","Antônimos que significam negar e aceitar.","Parônimos que significam corrigir e confirmar.","Homônimos que significam alterar e modificar.","C","São palavras parônimas (parecidas). Retificar é corrigir. Ratificar é confirmar/validar."
"Língua Portuguesa","Na frase 'Segue ANEXO o documento solicitado', a palavra em destaque está:","Incorreta, deveria ser 'anexa', concordando com a palavra anterior.","Incorreta, pois 'anexo' é sempre invariável.","Correta, pois concorda em gênero e número com o substantivo 'documento'.","Correta, pois funciona como advérbio modificador de 'segue'.","C","'Anexo' é um adjetivo e deve concordar em gênero e número com o substantivo a que se refere (o documento)."
"Língua Portuguesa","As palavras 'manga' (fruta) e 'manga' (parte da roupa) exemplificam um caso de:","Polissemia.","Antonímia.","Hiponímia.","Homologia estrutural.","A","A polissemia ocorre quando uma mesma palavra adquire diferentes significados dependendo do contexto."
"Língua Portuguesa","Assinale a opção em que todas as palavras são acentuadas pela mesma regra:","Júri, bônus, vírus.","Médico, baú, saúde.","Café, dominó, útil.","Amém, cipó, lágrima.","A","Júri, bônus e vírus são palavras paroxítonas terminadas, respectivamente, em i e us."
"Língua Portuguesa","'Embora chovesse, fomos ao teatro.' A oração subordinada expressa ideia de:","Causa.","Condição.","Proporção.","Concessão.","D","A conjunção 'embora' introduz uma oração adverbial concessiva, indicando uma oposição que não impede o fato da oração principal."
"Língua Portuguesa","Qual é a função sintática do termo em destaque em: 'A vida, SENHORA DOS DESTINOS, surpreende a todos'?","Aposto.","Vocativo.","Objeto direto.","Predicativo do sujeito.","A","O termo explica, esclarece e desenvolve o substantivo 'A vida', caracterizando-se como aposto explicativo."
"Língua Portuguesa","O vocábulo 'portanto' exerce papel coesivo de:","Adição.","Conclusão.","Oposição.","Alternância.","B","'Portanto' é uma conjunção coordenativa conclusiva, usada para encerrar um raciocínio lógico."
"Língua Portuguesa","Em 'O garoto cujo pai é professor faltou hoje', a palavra 'cujo' estabelece relação sintático-semântica de:","Tempo.","Lugar.","Posse.","Modo.","C","O pronome relativo 'cujo' (e suas flexões) sempre indica relação de posse entre o antecedente (garoto) e o consequente (pai)."
"Língua Portuguesa","Qual a classificação do sujeito na oração: 'Precisa-se de novos técnicos'?","Sujeito Simples.","Sujeito Oculto.","Sujeito Indeterminado.","Sujeito Inexistente.","C","O verbo transitivo indireto acompanhado da partícula 'se' (índice de indeterminação do sujeito) caracteriza o sujeito indeterminado."
"Língua Portuguesa","A palavra 'subitamente' é formada pelo processo de:","Derivação prefixal.","Derivação sufixal.","Composição por aglutinação.","Derivação parassintética.","B","Ocorre o acréscimo do sufixo '-mente' ao adjetivo 'súbito', alterando sua classe para advérbio."
"Legislação","De acordo com o Art. 37 da Constituição Federal (CF/88), os princípios expressos da Administração Pública são:","Legalidade, Igualdade, Moralidade, Pessoalidade, Eficiência.","Licitude, Impessoalidade, Motivação, Publicidade, Eficácia.","Legalidade, Impessoalidade, Moralidade, Publicidade e Eficiência.","Legalidade, Impessoalidade, Moralidade, Probidade e Eficiência.","C","Conhecidos pela sigla LIMPE: Legalidade, Impessoalidade, Moralidade, Publicidade e Eficiência, constantes no caput do art. 37."
"Legislação","Conforme a Lei nº 8.112/1990, a forma de provimento de cargo público decorrente do retorno à atividade de servidor aposentado por invalidez, quando junta médica oficial declarar insubsistentes os motivos da aposentadoria, é a:","Reversão.","Reintegração.","Recondução.","Aproveitamento.","A","Segundo o art. 25 da Lei 8.112/90, a reversão é o retorno à atividade de servidor aposentado."
"Legislação","De acordo com a LDB (Lei nº 9.394/96), o ensino será ministrado com base no princípio da:","Gestão centralizada do ensino público.","Garantia de padrão de quantidade.","Igualdade de condições para o acesso e permanência na escola.","Unicidade de ideias e concepções pedagógicas.","C","O Art. 3º da LDB lista os princípios do ensino, sendo a 'igualdade de condições para o acesso e permanência na escola' o inciso I."
"Legislação","A Lei nº 11.892/2008, que cria os Institutos Federais, define que estas são instituições de:","Educação superior, exclusivamente.","Educação básica, profissional e superior, pluricurriculares e multicampi.","Ensino técnico privado com subsídio federal.","Pesquisa tecnológica sem oferta de vagas de ensino médio.","B","O art. 2º define os IFs como instituições de educação superior, básica e profissional, pluricurriculares e multicampi, especializadas em EPT."
"Legislação","Segundo a Lei nº 11.892/2008, os Institutos Federais devem garantir, no mínimo, qual percentual de suas vagas para a oferta de cursos técnicos de nível médio, prioritariamente na forma integrada?","20%.","30%.","50%.","70%.","C","Conforme o Art. 8º da Lei, os IFs devem garantir o mínimo de 50% de suas vagas para cursos técnicos de nível médio."
"Legislação","O Plano de Carreiras e Cargos de Magistério Federal (Lei nº 12.772/2012) estrutura a Carreira de Magistério do Ensino Básico, Técnico e Tecnológico (EBTT). A Classe de topo (final) desta carreira é a de:","Professor Adjunto.","Professor Associado.","Professor Titular.","Professor Pleno.","C","A estrutura da carreira tem como última classe a de Professor Titular, sendo o topo tanto no Magistério Superior quanto no EBTT."
"Legislação","De acordo com o Código de Ética Profissional do Servidor Público (Decreto nº 1.171/94), a remuneração do servidor público é custeada pelos tributos pagos por todos e por isso:","Ele deve prestar contas apenas à sua chefia imediata.","Exige-se como contrapartida que o servidor atue com estrita legalidade e moralidade para com a coisa pública.","O servidor tem privilégios na utilização de recursos públicos.","Garante-se ao servidor a isenção do pagamento de impostos.","B","A seção I (Regras Deontológicas) inciso VII, prevê que a remuneração custeada pelos tributos exige prestação de serviços com eficiência e moralidade."
"Legislação","A Lei Brasileira de Inclusão (Lei nº 13.146/2015 - LBI) conceitua 'barreiras' como:","Apenas obstáculos arquitetônicos e físicos.","Qualquer entrave, obstáculo, atitude ou comportamento que limite ou impeça a participação social da pessoa com deficiência.","Condições biológicas que limitam a mobilidade da pessoa.","Exigências de qualificação profissional para o mercado de trabalho.","B","Segundo o Art. 3º, inciso IV da LBI, barreiras englobam obstáculos atitudinais, arquitetônicos, tecnológicos, de comunicação, entre outros."
"Legislação","O crime em que o funcionário público apropria-se de dinheiro, valor ou qualquer outro bem móvel, público ou particular, de que tem a posse em razão do cargo, ou o desvia, em proveito próprio ou alheio, é o:","Corrupção passiva.","Concussão.","Prevaricação.","Peculato.","D","Descrito no Art. 312 do Código Penal, este é o crime de peculato."
"Legislação","Conforme a Lei do Processo Administrativo Federal (Lei nº 9.784/99), é INCORRETO afirmar que:","O processo pode iniciar de ofício ou a pedido de interessado.","A autoridade não pode atuar em processo no qual tenha interesse direto ou indireto.","O recurso administrativo não poderá ser interposto perante a autoridade que proferiu a decisão.","As decisões das autoridades devem ser sempre motivadas.","C","A lei prevê que o recurso seja interposto sim perante a autoridade que proferiu a decisão (Art. 56), que se não a reconsiderar, o encaminhará ao superior."
"Legislação","De acordo com a Lei de Improbidade Administrativa (Lei nº 8.429/1992), receber vantagem econômica indevida para omitir ato de ofício constitui ato de improbidade que:","Gera lesão ao erário.","Importa enriquecimento ilícito.","Atenta apenas contra os princípios da administração.","Não é punível civilmente, apenas penalmente.","B","Receber vantagem econômica (propina) caracteriza-se como ato que importa enriquecimento ilícito (Art. 9º)."
"Legislação","A Lei Geral de Proteção de Dados (LGPD - Lei nº 13.709/2018) classifica como 'Dado Pessoal Sensível' o dado sobre:","Endereço residencial e telefone celular.","Origem racial ou étnica, convicção religiosa e opinião política.","Profissão e faixa salarial.","Histórico escolar de notas.","B","O Art. 5º, II da LGPD elenca como dados sensíveis: origem racial, religião, opinião política, filiação sindical, dado referente à saúde, biometria e genética."
"Legislação","Conforme a Lei de Acesso à Informação (LAI - Lei nº 12.527/2011), o prazo máximo de restrição de acesso a uma informação classificada como 'Ultrassecreta' é de:","5 anos.","15 anos.","25 anos.","100 anos.","C","O art. 24 da LAI estabelece os prazos máximos: Reservada (5 anos), Secreta (15 anos) e Ultrassecreta (25 anos)."
"Legislação","O Decreto nº 5.840/2006 (PROEJA) estabelece a integração da educação profissional à:","Educação Infantil.","Educação Básica na modalidade de Educação de Jovens e Adultos.","Exclusivamente ao Ensino Superior.","Pós-graduação lato sensu.","B","O PROEJA visa integrar a Educação Profissional Tecnológica à Educação Básica na modalidade EJA, para elevar a escolaridade e qualificar para o trabalho."
"Legislação","O Estatuto de Igualdade Racial (Lei nº 12.288/2010) tem como objetivo principal:","Instituir políticas apenas na esfera do ensino superior para afrodescendentes.","Garantir à população negra a efetivação da igualdade de oportunidades e o combate à discriminação.","Criar cotas exclusivas para negros em concursos da iniciativa privada.","Substituir todas as políticas sociais pela concessão de bolsas em dinheiro.","B","O Art. 1º institui o Estatuto para garantir à população negra a igualdade de oportunidades, a defesa de direitos individuais, coletivos e difusos e o combate à intolerância."
"Legislação","A Política Nacional de Educação Profissional e Tecnológica (PNEPT), instituída pelo Decreto nº 12.603/2025, estabelece, junto a ela, qual sistema?","Sistema Nacional de Formação de Docentes da Educação Básica.","Sistema Nacional de Avaliação da Educação Profissional e Tecnológica (SINAEPT).","Sistema Único de Vagas do Ensino Superior.","Sistema Federal de Regulação do Ensino Privado.","B","Como citado no próprio título do Decreto 12.603/2025 e em seu texto legal, ele institui a PNEPT e o SINAEPT."
"Legislação","A Portaria MGI nº 6.719/2024 trata sobre o Plano Federal de Prevenção e Enfrentamento:","Do Assédio e da Discriminação na Administração Pública Federal.","Dos ataques cibernéticos a bancos de dados públicos.","Do desmatamento em terras indígenas.","Da evasão escolar na Rede Federal.","A","A portaria institui diretrizes para combater o assédio moral, sexual e outras formas de discriminação dentro da Administração Pública Federal Direta, Autarquias e Fundações."
"Legislação","No Código Penal, o crime de 'Corrupção Passiva' (art. 317) é caracterizado pela conduta de:","Exigir vantagem indevida em razão da função.","Oferecer vantagem indevida a funcionário público.","Solicitar ou receber vantagem indevida em razão da função.","Atrasar indevidamente ato de ofício por interesse pessoal.","C","Solicitar ou receber para si ou para outrem, ou aceitar promessa, de vantagem indevida, é corrupção passiva. Exigir é concussão."
"Legislação","O regime disciplinar da Lei 8.112/90 prevê que o servidor que se recusa injustificadamente a ser submetido a inspeção médica determinada pela autoridade competente está sujeito a qual sanção?","Demissão.","Advertência por escrito.","Suspensão de até 15 dias, que cessa assim que for cumprida a exigência.","Aposentadoria compulsória.","C","Segundo o art. 130, § 1º, a pena é suspensão de até 15 dias, encerrando-se os efeitos assim que o servidor cumprir a determinação de inspeção médica."
"Legislação","O servidor público que utilizar pessoal ou recursos materiais da repartição em serviços ou atividades particulares, segundo a Lei 8.112/90, estará sujeito à penalidade de:","Advertência.","Suspensão.","Demissão.","Multa de 50% dos vencimentos.","C","Utilizar pessoal ou recursos materiais da repartição em atividades particulares é uma proibição (art. 117, XVI) cuja infração é punida com demissão (art. 132, XIII)."
