"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","No contexto de virtualização e containers, o Kubernetes é uma plataforma cujo principal objetivo é:","Virtualizar hardware em servidores bare-metal.","Orquestrar e gerenciar clusters de containers em larga escala.","Criar bancos de dados relacionais na nuvem.","Traduzir códigos de Python para C++.","B","Kubernetes é uma ferramenta de orquestração de containers que automatiza a implantação, o dimensionamento e a gestão de aplicações em containers (como Docker)."
"Informática","A observabilidade em ambientes DevOps baseia-se tradicionalmente em três pilares fundamentais de dados. Quais são eles?","Logs, Métricas e Traces.","Testes, Builds e Deploys.","Servidores, Roteadores e Firewalls.","Código-fonte, Binários e Imagens.","A","A observabilidade permite entender o estado interno de um sistema analisando Logs (registros de eventos), Métricas (dados quantitativos) e Traces (rastreamento de ponta a ponta)."
"Informática","Sobre criptografia, qual é o principal objetivo do algoritmo Diffie-Hellman?","Assinatura digital de documentos PDF.","Geração de hashes irreversíveis para senhas.","Troca segura de chaves criptográficas sobre um canal de comunicação inseguro.","Criptografia de discos inteiros (Full Disk Encryption).","C","O Diffie-Hellman é um protocolo matemático que permite que duas partes gerem uma chave secreta compartilhada em um meio público, sem transmiti-la diretamente."
"Informática","Algoritmos como MD5 e SHA-256 são funções de Hash. Qual a principal característica de uma função de hash criptográfica adequada?","Permitir que o texto original seja facilmente recuperado a partir do hash utilizando uma chave privada.","Gerar um resumo de tamanho fixo a partir de uma entrada de tamanho variável, sendo computacionalmente inviável reverter o processo.","Comprimir arquivos de vídeo sem perda de qualidade.","Estabelecer túneis de VPN seguros.","B","Funções Hash são unidirecionais (não reversíveis) e geram uma saída de comprimento fixo independentemente do tamanho da entrada, garantindo a integridade dos dados."
"Informática","Um firewall que analisa pacotes e monitora ativamente o estado das conexões ativas de rede (lembrando quais portas e IPs iniciaram a conexão) é classificado como:","Firewall de Filtro de Pacotes Simples (Stateless).","Firewall de Inspeção de Estado (Stateful).","Proxy Reverso.","IDS (Intrusion Detection System).","B","Firewalls Stateful (Inspeção de Estado) acompanham as conexões de rede ativas desde a criação até o encerramento, permitindo pacotes de retorno automaticamente sem precisar de regras manuais inversas."
"Informática","A Segunda Forma Normal (2FN) em modelagem de dados exige que a tabela já esteja na 1FN e que:","Não haja atributos nulos.","Todos os atributos não chave dependam totalmente da chave primária composta, e não apenas de parte dela.","Todos os atributos dependam de uma chave estrangeira.","Sejam eliminadas as dependências transitivas.","B","A 2FN foca na eliminação da dependência funcional parcial. Se a chave primária for composta, nenhum atributo não chave pode depender de apenas uma parte dessa chave."
"Informática","Em Sistemas Operacionais, a técnica de 'Multithreading' traz vantagens sobre a criação de múltiplos processos porque:","As threads oferecem isolamento total de memória, tornando o sistema mais seguro.","As threads são criadas e destruídas de forma mais rápida, compartilhando recursos e a área de memória do processo pai.","Não há risco de condições de corrida (race conditions) no uso de threads.","Elimina-se a necessidade de gerenciar interrupções de hardware.","B","Threads exigem menos overhead do sistema operacional e compartilham o mesmo espaço de endereçamento, o que facilita a comunicação e acelera sua criação/troca de contexto."
"Informática","Qual tecnologia do CSS3 é projetada especificamente para fornecer um sistema de layout bidimensional (linhas e colunas) robusto para páginas web?","CSS Flexbox.","CSS Transitions.","CSS Grid Layout.","CSS Media Queries.","C","Enquanto o Flexbox é primariamente um sistema de layout unidimensional (uma linha ou uma coluna por vez), o CSS Grid é o sistema voltado para layouts bidimensionais complexos."
"Informática","Qual protocolo da arquitetura TCP/IP é usado por administradores para gerenciar dispositivos na rede através de 'agentes' que armazenam dados na MIB (Management Information Base)?","FTP.","QUIC.","SNMP.","HTTP.","C","O SNMP (Simple Network Management Protocol) utiliza agentes locais nos dispositivos de rede e uma base de informações (MIB) para permitir o monitoramento e gerenciamento remoto."
"Informática","Em protocolos de segurança de redes, a certificação digital (uso de certificados) depende de qual infraestrutura para garantir a identidade das partes?","Infraestrutura de Chaves Públicas (PKI ou ICP).","Modelo OSI.","Redes Privadas Virtuais (VPN).","Controle de Congestionamento TCP.","A","A PKI (Public Key Infrastructure) é o sistema de autoridades de certificação, autoridades de registro e outras entidades que validam as identidades e emitem os certificados digitais baseados em criptografia assimétrica."
"Língua Portuguesa","No trecho 'Em 2020, uma forte pandemia atingiu o mundo. Naquela época, as ruas ficaram vazias', o termo 'Naquela época' exerce papel de:","Catáfora.","Elipse.","Anáfora.","Pleonasmo.","C","A anáfora ocorre quando um termo (Naquela época) remete a algo que já foi mencionado anteriormente no texto (Em 2020)."
"Língua Portuguesa","Assinale a frase em que o uso da crase é PROIBIDO pela norma-padrão:","Os alunos chegaram às pressas.","O prêmio foi entregue à aluna mais dedicada.","Todos começaram à resolver a prova imediatamente.","Referiu-se à mesma pessoa de ontem.","C","É regra proibitiva do uso da crase o seu emprego imediatamente antes de verbos no infinitivo (resolver)."
"Língua Portuguesa","Qual das opções abaixo contém uma palavra que, segundo as regras de acentuação gráfica, é uma proparoxítona?","Responsável.","Lâmpada.","Caráter.","Também.","B","'Lâmpada' tem a antepenúltima sílaba tônica (lâm-pa-da) e a regra dita que todas as palavras proparoxítonas recebem acento gráfico."
"Língua Portuguesa","De acordo com o Novo Acordo Ortográfico, o uso do hífen está CORRETO na palavra:","Anti-inflamatório.","Autoescola.","Microondas.","Infra-estrutura.","A","Com o Novo Acordo, usa-se o hífen quando o prefixo termina com a mesma vogal com a qual a segunda palavra se inicia (anti + inflamatório)."
"Língua Portuguesa","Na oração 'Na tarde de ontem, no pátio do instituto, os estudantes protestaram', o uso das vírgulas ocorre para:","Separar o sujeito do predicado.","Isolar um aposto explicativo.","Isolar adjuntos adverbiais deslocados.","Indicar a supressão de um verbo.","C","'Na tarde de ontem' (tempo) e 'no pátio do instituto' (lugar) são adjuntos adverbiais deslocados para o início da frase, justificando o uso das vírgulas."
"Língua Portuguesa","Complete corretamente com a norma de concordância verbal: 'A maioria dos candidatos ______ preparados para o exame.'","estavam","estava","Ambas as opções estão corretas.","estavam, sendo esta a única correta.","C","Quando o sujeito for formado por expressão partitiva (a maioria de, parte de, etc.) seguida de termo no plural, o verbo pode concordar com a expressão (singular) ou com o termo (plural)."
"Língua Portuguesa","Na norma culta, a regência do verbo 'assistir' no sentido de 'ver/presenciar' é classificada como:","Transitivo direto.","Transitivo indireto, exigindo preposição 'a'.","Transitivo indireto, exigindo preposição 'de'.","Intransitivo.","B","No sentido de ver ou presenciar, 'assistir' exige a preposição 'a' (Ex: Assistimos ao filme). Ele só é transitivo direto no sentido de dar assistência/ajudar."
"Língua Portuguesa","Em qual das alternativas os termos são considerados antônimos em seu sentido clássico?","Lento e devagar.","Rico e milionário.","Efêmero e duradouro.","Tranquilo e calmo.","C","Antonímia é a relação de significados opostos ou contrários. 'Efêmero' significa passageiro, logo é antônimo de 'duradouro'."
"Língua Portuguesa","Na frase 'Estudou arduamente para o concurso; todavia, a prova estava fora de seus padrões', a palavra 'todavia' exprime ideia de:","Adição.","Explicação.","Adversidade/Oposição.","Conclusão.","C","'Todavia' é uma conjunção coordenativa adversativa, que expressa contraste, quebra de expectativa ou oposição, assim como 'mas', 'porém' e 'contudo'."
"Língua Portuguesa","A oração 'O edital foi publicado pelo reitor' encontra-se na:","Voz ativa.","Voz reflexiva.","Voz passiva sintética.","Voz passiva analítica.","D","A voz passiva analítica é formada pelo verbo auxiliar (foi) + particípio do verbo principal (publicado), com o sujeito sofrendo a ação (o edital)."
"Língua Portuguesa","O gênero discursivo 'Artigo de Opinião' tem como característica principal a sequência textual:","Predominantemente narrativa, contando histórias ficcionais da vida do autor.","Exclusivamente dialogal, estruturada em turnos de fala.","Injuntiva, com verbos no imperativo guiando ações práticas do leitor.","Argumentativa, em que o autor defende um ponto de vista com argumentos lógicos.","D","O artigo de opinião visa convencer ou persuadir o leitor acerca de um determinado assunto, utilizando para isso a sequência argumentativa."
"Língua Portuguesa","Na frase 'O gato arranhou o sofá. O felino sempre faz isso', a substituição de 'gato' por 'felino' para manter a coesão textual é um caso de:","Polissemia.","Hiperonímia/Hiponímia, atuando como substituição lexical.","Elipse do sujeito.","Concordância nominal.","B","O uso de hiperônimos (termos de sentido mais amplo, como felino) para substituir hipônimos (gato) é um recurso essencial da coesão lexical para evitar repetições."
"Língua Portuguesa","Assinale a alternativa que apresenta ERRO de colocação pronominal:","Nunca me disseram a verdade.","Dar-te-ei os relatórios amanhã.","Me empresta a caneta, por favor?","Não se esqueça do compromisso.","C","Segundo a norma-padrão, é proibido iniciar oração com pronome oblíquo átono (o correto seria 'Empresta-me a caneta')."
"Língua Portuguesa","A respeito da concordância nominal com a expressão 'É proibido', assinale a frase CORRETA:","É proibido entrada de pessoas não autorizadas.","É proibida a entrada de pessoas não autorizadas.","É proibida entrada de pessoas não autorizadas.","As opções A e B estão corretas.","D","Se a palavra 'entrada' não tiver artigo (determinante), a expressão fica invariável ('É proibido entrada'). Se tiver artigo feminino ('a entrada'), a expressão concorda com ela ('É proibida a entrada')."
"Língua Portuguesa","As palavras 'sessão', 'seção' e 'cessão' são classificadas como:","Homônimos perfeitos.","Parônimos.","Homônimos homófonos (mesmo som, grafias e sentidos diferentes).","Sinônimos absolutos.","C","Essas palavras possuem a mesma pronúncia, mas grafias e significados diferentes (reunião, departamento, ato de ceder), sendo classificadas como homônimas homófonas."
"Língua Portuguesa","Na oração 'João, preste atenção na aula!', o termo 'João' funciona sintaticamente como:","Sujeito simples.","Aposto.","Vocativo.","Objeto direto.","C","O vocativo é o termo da oração usado para chamar, invocar ou interpelar o ouvinte ou leitor. É sempre separado por pontuação."
"Língua Portuguesa","O fator de textualidade que se refere à estruturação lógica do texto, permitindo a compreensão de sentido e a ausência de contradições internas, é chamado de:","Coesão.","Coerência.","Intertextualidade.","Intencionalidade.","B","A coerência é responsável pelo sentido e pela harmonia entre as ideias do texto. Sem ela, o texto se torna ilógico ou contraditório, mesmo que possua boa coesão estrutural."
"Língua Portuguesa","Em 'A menina ficou chateada com o resultado, pois havia estudado muito', a oração introduzida por 'pois' classifica-se como:","Coordenada sindética explicativa.","Subordinada adjetiva restritiva.","Coordenada assindética.","Subordinada substantiva objetiva direta.","A","A conjunção 'pois', quando aparece antes do verbo da sua oração, tem valor explicativo, justificando o fato enunciado na oração anterior."
"Língua Portuguesa","Considerando a regência nominal, quem está 'apto' está apto:","a ou para.","em ou por.","com.","de.","A","O adjetivo 'apto' exige as preposições 'a' ou 'para' (apto a exercer a função / apto para o cargo)."
"Língua Portuguesa","A frase 'Vende-se casas novas' apresenta um erro de sintaxe. Qual a correção e sua justificativa adequadas?","'Vende-se casas novas' está correto pois o sujeito é indeterminado.","'Vendem-se casas novas', pois o pronome 'se' é apassivador e o verbo deve concordar com o sujeito paciente (casas novas).","'Vende casas novas', retirando o 'se', pois o verbo é impessoal.","'Vendem-se casa nova', mantendo o objeto no singular.","B","Com verbos transitivos diretos, a partícula 'se' atua como pronome apassivador. A frase equivale a 'Casas novas são vendidas', logo o verbo concorda no plural."
"Legislação","No artigo 6º da Constituição Federal de 1988, qual dos direitos abaixo NÃO faz parte expressamente do rol de Direitos Sociais?","Educação.","Propriedade privada.","Saúde.","Previdência Social.","B","O Art. 6º lista a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, e a assistência aos desamparados. Propriedade privada é um direito individual (Art. 5º)."
"Legislação","A Constituição Federal, em seu Art. 37, estabelece a regra geral de inacumulabilidade de cargos públicos. Uma das exceções permitidas, desde que haja compatibilidade de horários, é a de:","Dois cargos de professor.","Um cargo de professor e dois de nível técnico.","Dois cargos privativos de engenheiro.","Dois cargos de juiz.","A","A Constituição permite (Art. 37, XVI) a acumulação de dois cargos de professor; um de professor com um técnico ou científico; e dois cargos/empregos privativos de profissionais de saúde, com profissões regulamentadas."
"Legislação","Segundo a Lei 8.112/90, durante o estágio probatório de 36 meses, o servidor será avaliado em diversos fatores. Qual das alternativas abaixo NÃO é um fator de avaliação no estágio probatório?","Assiduidade.","Disciplina.","Capacidade de iniciativa.","Filiação partidária.","D","O Art. 20 elenca como fatores de avaliação para o estágio probatório: assiduidade, disciplina, capacidade de iniciativa, produtividade e responsabilidade."
"Legislação","Conforme a Lei 8.112/90, a penalidade aplicável ao servidor no caso de inobservância de dever funcional previsto em lei, que não justifique imposição de penalidade mais grave, é a:","Suspensão por 30 dias.","Demissão.","Advertência por escrito.","Destituição de função.","C","Segundo o art. 129, a advertência será aplicada por escrito nos casos de violação de proibição não sujeita à suspensão e de inobservância de dever funcional."
"Legislação","A Lei de Diretrizes e Bases da Educação Nacional (LDB - Lei nº 9.394/96) dispõe que a carga horária mínima anual para a educação básica será de quantas horas e dias de efetivo trabalho escolar?","800 horas, distribuídas por um mínimo de 200 dias de efetivo trabalho escolar.","1000 horas em 180 dias de efetivo trabalho escolar.","800 horas em 180 dias de efetivo trabalho escolar.","1200 horas em 220 dias de efetivo trabalho escolar.","A","O Art. 24, I da LDB fixa a carga horária mínima anual de oitocentas horas, distribuídas por um mínimo de duzentos dias de efetivo trabalho escolar, excluindo o tempo reservado a exames finais."
"Legislação","Segundo a Lei nº 11.892/2008, os Institutos Federais possuem natureza jurídica de:","Empresas Públicas vinculadas ao Ministério da Ciência e Tecnologia.","Fundações privadas de utilidade pública.","Autarquias, detentoras de autonomia administrativa, patrimonial, financeira, didático-pedagógica e disciplinar.","Sociedades de economia mista.","C","O Art. 2º da Lei define os IFs como autarquias, com toda a gama de autonomias inerentes ao funcionamento universitário de que dispõem as IFES."
"Legislação","De acordo com o Código de Ética Profissional do Servidor (Decreto nº 1.171/94), qual é a penalidade máxima que pode ser aplicada por uma Comissão de Ética?","Demissão.","Censura.","Suspensão não remunerada de até 90 dias.","Multa civil.","B","O inciso XXII das Regras Deontológicas estabelece que a penalidade aplicável pela Comissão de Ética é exclusivamente a censura, e sua fundamentação constará no respectivo parecer."
"Legislação","A Lei Brasileira de Inclusão (LBI - Lei 13.146/15) estabelece direito a atendimento prioritário à pessoa com deficiência. Qual das situações abaixo está INCORRETA quanto à extensão desse benefício?","O acompanhante da pessoa com deficiência não se beneficia desse direito, sob nenhuma hipótese.","O atendimento prioritário aplica-se a serviços públicos e privados.","Abrange a tramitação processual judicial em que a pessoa for parte ou interessada.","Aplica-se à disponibilização de recursos de acessibilidade nas comunicações.","A","Segundo o Art. 9º, § 1º, os direitos previstos ao atendimento prioritário são extensivos ao acompanhante da pessoa com deficiência ou ao seu atendente pessoal, exceto no tocante aos processos judiciais e aos fundos de garantia/imposto de renda."
"Legislação","Após a reforma pela Lei 14.230/2021, a Lei de Improbidade Administrativa (Lei 8.429/1992) exige expressamente, para que haja configuração do ato de improbidade:","Dolo ou culpa grave do agente.","Apenas negligência (culpa).","Dolo específico, com vontade livre e consciente de alcançar o resultado ilícito tipificado.","Responsabilidade objetiva do servidor, independente de dolo ou culpa.","C","O Art. 1º, § 2º, e § 3º da LIA atualizada deixa claro que o sistema requer dolo específico, não bastando a voluntariedade do agente nem existindo mais improbidade na modalidade culposa."
"Legislação","Na Lei Geral de Proteção de Dados (LGPD - 13.709/2018), a pessoa natural ou jurídica, de direito público ou privado, a quem competem as decisões referentes ao tratamento de dados pessoais é denominada:","Titular.","Operador.","Controlador.","Encarregado (DPO).","C","O Art. 5º, VI, define o Controlador como o ente que toma as decisões referentes ao tratamento dos dados pessoais. O Operador realiza o tratamento em nome do Controlador."
"Legislação","A Lei de Processo Administrativo Federal (Lei nº 9.784/99) afirma que um órgão administrativo pode delegar parte da sua competência a outros órgãos, exceto quando se tratar de:","Matérias de rotina de protocolo.","Decisão de recursos administrativos.","Despachos de mero expediente.","Distribuição de material de almoxarifado.","B","O Art. 13 da Lei proíbe expressamente a delegação da competência para: edição de atos de caráter normativo, decisão de recursos administrativos e matérias de competência exclusiva do órgão."
"Legislação","No Código Penal, o crime que consiste no ato de o funcionário público 'exigir', para si ou para outrem, vantagem indevida em razão do cargo, é tipificado como:","Corrupção Passiva.","Concussão.","Prevaricação.","Peculato.","B","Descrito no Art. 316, a concussão ocorre quando o funcionário EXIGE a vantagem indevida, causando temor na vítima de sofrer represálias com base no poder do cargo."
"Legislação","O regime de trabalho dos professores da carreira EBTT, conforme a Lei 12.772/2012, no qual o docente fica impedido de exercer outra atividade remunerada, pública ou privada, é conhecido como:","Regime de 20 horas.","Regime de Tempo Parcial.","Regime de Dedicação Exclusiva.","Regime Temporário Substituto.","C","O Art. 20, § 2º descreve o regime de 40 horas semanais com dedicação exclusiva, o qual impede o exercício de qualquer outra atividade remunerada, salvo as exceções previstas em lei."
"Legislação","Segundo o Decreto 5.154/2004, a educação profissional técnica de nível médio será desenvolvida de forma articulada com o ensino médio, podendo esta articulação dar-se de duas maneiras. Quais são elas?","Gradual ou Cíclica.","Integrada ou Concomitante.","Subsequente ou Superior.","EJA ou PROEJA.","B","O Art. 4º, § 1º determina que a articulação poderá ocorrer de forma integrada (curso único e matrícula única) ou concomitante (matrículas distintas, no mesmo estabelecimento ou estabelecimentos distintos)."
"Legislação","De acordo com o Estatuto de Igualdade Racial (Lei 12.288/2010), o poder público fomentará qual prática reconhecida como desporto de criação nacional, manifestação cultural e atividade formadora de cidadãos?","O futebol de várzea.","O samba de roda.","A capoeira.","O candomblé.","C","O Art. 20, inciso III, e Art. 22 do Estatuto reconhecem expressamente a capoeira como desporto de criação nacional e dão diretrizes para seu fomento pelo poder público."
"Legislação","Na Lei de Acesso à Informação (Lei 12.527/2011), as informações pessoais relativas à intimidade, vida privada, honra e imagem terão seu acesso restrito, independente de classificação de sigilo, pelo prazo máximo de:","50 anos.","75 anos.","100 anos.","Tempo indeterminado.","C","Segundo o Art. 31, § 1º, inciso I da LAI, as informações pessoais que expõem a intimidade e a vida privada terão acesso restrito pelo prazo máximo de 100 anos a contar da data de sua produção."
"Legislação","A PNEPT, instituída pelo Decreto 12.603/2025, determina que a oferta de cursos deve levar em conta:","As demandas do mercado de trabalho norte-americano.","O Catálogo Nacional de Cursos Técnicos, organizado por eixos tecnológicos.","O fechamento de escolas do campo para concentrar o ensino em capitais.","A exclusão de tecnologias verdes, focando no setor petrolífero.","B","A regulação da PNEPT reforça a ordenação dos cursos profissionais e tecnológicos no Brasil agrupados em eixos tecnológicos através do Catálogo Nacional, vinculando-se aos arranjos produtivos locais."
"Legislação","A Portaria MGI 6.719/2024 aborda o assédio moral na administração. Como é tipicamente definido o assédio moral no serviço público?","Conduta isolada, de pequena repercussão, onde ocorre discussão ríspida entre servidor e chefe.","Conduta repetitiva e prolongada que expõe o servidor a situações humilhantes e constrangedoras, degradando o ambiente de trabalho.","Exigência pontual de cumprimento de metas legais da autarquia.","Transferência de lotação a pedido do próprio servidor.","B","O assédio moral caracteriza-se pela repetição e duração dos atos de humilhação e constrangimento que afetam a dignidade ou a integridade psicológica do servidor, gerando um ambiente de trabalho hostil."
"Legislação","Conforme a Lei 8.112/90, pelo exercício irregular de suas atribuições o servidor responde civil, penal e administrativamente. Sobre a independência das instâncias, é CORRETO afirmar que:","A absolvição criminal que negue a existência do fato ou sua autoria não afasta a responsabilidade administrativa.","A responsabilidade civil-administrativa é afastada no caso de absolvição criminal que negue a existência do fato ou sua autoria.","A sanção civil isenta automaticamente o servidor de sanção administrativa.","Nenhuma punição administrativa pode ocorrer antes de uma condenação penal transitada em julgado.","B","O Art. 126 prevê expressamente que a responsabilidade administrativa do servidor será afastada no caso de absolvição criminal que negue a existência do fato ou sua autoria."
"Legislação","A Constituição Federal (Art. 37, III) determina que o prazo de validade do concurso público será de:","Até 1 ano, prorrogável uma vez, por igual período.","Até 2 anos, prorrogável uma vez, por igual período.","Exatamente 2 anos, ininterruptos e improrrogáveis.","Até 4 anos, a critério da administração.","B","O texto constitucional diz que o prazo é de 'até' dois anos (portanto, pode ser de 6 meses, 1 ano, etc.), prorrogável uma única vez, por igual período."
