assunto,enunciado,a,b,c,d,correta,justificativa
"Informática","Em Python, as Strings são estruturas de dados:","Mutáveis, podendo ter seus caracteres alterados pelo índice após a criação.","Imutáveis, ou seja, não podem ser alteradas in loco após serem criadas; qualquer modificação gera uma nova string.","Armazenadas exclusivamente no banco de dados.","Que só aceitam números inteiros.","B","Assim como as tuplas, as strings no Python são imutáveis. Tentar alterar um caractere usando seu índice (ex: texto[0] = 'a') resultará em um erro ('TypeError')."
"Conhecimentos Socioeconômicos de Alagoas","Do ponto de vista demográfico, Alagoas apresenta a maior concentração populacional em qual de suas mesorregiões?","Sertão.","Agreste.","Leste Alagoano (onde fica a capital Maceió).","Zona da Mata.","C","A mesorregião do Leste Alagoano concentra a maior parte da população do estado, impulsionada pelo dinamismo econômico, expansão urbana da capital Maceió e sua região metropolitana."
"Conhecimentos Socioeconômicos de Alagoas","Historicamente, o fluxo migratório em Alagoas foi marcado por:","Forte atração de imigrantes europeus no século XX para a indústria tecnológica.","Intenso êxodo rural e emigração de alagoanos em direção à região Sudeste (principalmente São Paulo), em busca de melhores condições de vida.","Migração em massa de alagoanos para a região Norte, fugindo da indústria canavieira.","Recepção maciça de refugiados asiáticos no Agreste.","B","A busca por empregos e fuga da seca (no Sertão) ou das condições precárias dos canaviais historicamente impulsionou o fluxo emigratório do estado rumo ao Sudeste, movimento que reduziu nas últimas décadas."
"Conhecimentos Socioeconômicos de Alagoas","A densidade demográfica de Alagoas é desigual. A área de menor densidade demográfica no estado corresponde à região:","Do Litoral.","Metropolitana de Maceió.","Do Baixo São Francisco.","Do Sertão Alagoano.","D","O Sertão, devido às condições climáticas semiáridas e limitações hídricas, apresenta a menor fixação populacional por quilômetro quadrado do estado."
"Conhecimentos Socioeconômicos de Alagoas","No âmbito da cultura alagoana, uma das manifestações folclóricas mais tradicionais, que mistura teatro, música e dança, frequentemente apresentada no ciclo natalino, é o:","Frevo.","Pastoril.","Bumba meu boi (estilo maranhense exclusivo).","Carimbó.","B","O Pastoril é um folguedo de origem ibérica profundamente enraizado em Alagoas, caracterizado pela disputa entre os cordões Azul e Encarnado, sendo uma das maiores expressões da cultura popular local."
"Conhecimentos Socioeconômicos de Alagoas","A culinária alagoana é fortemente influenciada pelas águas do complexo estuarino lagunar. Um molusco muito comum na gastronomia do estado, especialmente na lagoa Mundaú, e considerado Patrimônio Imaterial de Alagoas, é o:","Caranguejo-uçá.","Sururu.","Mexilhão chileno.","Ostra do pacífico.","B","O Sururu (capim de lagoa) é a base de pratos tradicionais como o caldo de sururu. É um símbolo cultural e econômico para as comunidades de pescadores e marisqueiras das margens da lagoa Mundaú."
"Conhecimentos Socioeconômicos de Alagoas","O estado de Alagoas foi o palco histórico da principal resistência contra a escravidão na América Latina. Onde se localizava essa resistência e quem foi seu maior líder?","Revolta dos Malês, liderada por Luíza Mahin.","Quilombo dos Palmares, liderado por Zumbi.","Balaiada, liderada por Negro Cosme.","Cabanagem, liderada por Antônio Conselheiro.","B","Localizado na Serra da Barriga (atual município de União dos Palmares), o Quilombo dos Palmares foi a maior sociedade de resistência negra, tendo Zumbi como seu símbolo e herói nacional."
"Conhecimentos Socioeconômicos de Alagoas","Segundo a divisão regional do IBGE, o estado de Alagoas é tradicionalmente dividido em três grandes mesorregiões naturais e socioeconômicas. São elas:","Leste Alagoano, Agreste Alagoano e Sertão Alagoano.","Litoral, Planalto Central e Sertão.","Zona da Mata, Borborema e Bacia do Parnaíba.","Maceió, Arapiraca e Penedo.","A","As três mesorregiões contemplam a área costeira/canavieira (Leste), a faixa de transição policultora (Agreste) e a área do semiárido (Sertão)."
"Conhecimentos Socioeconômicos de Alagoas","O Agreste alagoano, localizado entre a Zona da Mata e o Sertão, destaca-se economicamente e demograficamente por ser:","A principal região de extração de petróleo em alto mar.","A região de maior concentração de usinas de cana-de-açúcar.","Uma área de transição, caracterizada pela policultura familiar, comércio dinâmico e pela força polarizadora da cidade de Arapiraca.","Uma região de floresta amazônica intocada.","C","O Agreste tem como polo a cidade de Arapiraca. Historicamante marcada pela cultura do fumo, a região se diversificou para a policultura, feiras livres fortes e comércio pulsante."
"Conhecimentos Socioeconômicos de Alagoas","O Sertão alagoano apresenta um clima semiárido. Qual o principal curso d'água que atua como vetor de desenvolvimento econômico na divisa sul dessa região, possibilitando irrigação e turismo?","Rio Paraíba do Meio.","Rio Mundaú.","Rio São Francisco.","Rio Coruripe.","C","O 'Velho Chico' margeia o sul de Alagoas, sendo vital para a agricultura irrigada, fornecimento de água potável, geração de energia e turismo (cânions e cidades ribeirinhas)."
"Conhecimentos Socioeconômicos de Alagoas","Historicamente, o setor agrícola de Alagoas foi dominado por qual cultura de exportação, que moldou a estrutura fundiária de grandes latifúndios no Leste do estado?","Cacau.","Cana-de-açúcar.","Café.","Soja.","B","A monocultura da cana-de-açúcar é a base histórica da economia agroindustrial alagoana desde o período colonial, moldando a geografia da Zona da Mata."
"Conhecimentos Socioeconômicos de Alagoas","A economia de Alagoas nos últimos anos passou por transformações. Na composição de seu Produto Interno Bruto (PIB), o setor que detém a MAIOR fatia da economia do estado atualmente é o de:","Agropecuária.","Indústria de extração mineral.","Serviços (incluindo comércio, turismo e administração pública).","Indústria automobilística.","C","O setor Terciário (Serviços e Comércio) representa mais de 70% do PIB alagoano, sendo impulsionado pela administração pública, pelo turismo e pelo comércio varejista, especialmente na capital."
"Conhecimentos Socioeconômicos de Alagoas","Na indústria alagoana contemporânea, além do setor sucroalcooleiro, um subsetor que tem ganhado destaque no Agreste, particularmente em municípios industriais e na região de Arapiraca, é a:","Indústria aeroespacial.","Indústria química e de PVC.","Extração de minério de ferro.","Indústria da mineração de sal-gema.","B","O polo cloroquímico (localizado originalmente na região metropolitana) é forte, e a produção ligada ao setor do PVC possui relevância. (Nota: Embora a exploração de sal-gema da Braskem tenha parado em Maceió, a indústria química de base segue existindo no estado, muitas vezes processando matéria-prima de outras fontes)."
"Conhecimentos Socioeconômicos de Alagoas","No cenário dos indicadores sociais, Alagoas historicamente enfrentou grandes desafios. Um dos índices sociais em que o estado ainda trabalha arduamente para melhorar as posições no ranking nacional é:","A taxa de exportação de tecnologia de ponta.","O Índice de Desenvolvimento Humano (IDH) e as taxas de analfabetismo, que historicamente figuram entre os mais críticos do país.","A densidade da malha ferroviária.","O superávit em balança comercial internacional de ouro.","B","Apesar das melhorias contínuas e avanços em políticas públicas, o IDH de Alagoas e a sua taxa de analfabetismo ainda representam passivos sociais históricos graves se comparados à média do Sul e Sudeste."
"Conhecimentos Socioeconômicos de Alagoas","Em relação à mortalidade infantil em Alagoas, as políticas de saúde pública (como o Programa Saúde da Família e saneamento) resultaram em:","Um aumento drástico da mortalidade desde os anos 2000.","Uma redução significativa e constante das taxas de mortalidade infantil nas últimas décadas, embora o desafio de igualar à média nacional ainda exista.","Estagnação total dos números há 50 anos.","A erradicação total da mortalidade infantil no estado.","B","Alagoas apresentou uma das quedas mais expressivas na taxa de mortalidade infantil do Nordeste entre os anos 90 e 2020, fruto da ampliação da atenção básica e campanhas de vacinação."
"Conhecimentos Socioeconômicos de Alagoas","O Índice de Gini mede a desigualdade de distribuição de renda. Em Alagoas, esse indicador historicamente demonstra:","A melhor distribuição de renda do Brasil.","Uma sociedade igualitária sem concentração de riqueza.","Alta concentração de renda, evidenciando uma das maiores desigualdades socioeconômicas do país.","Concentração de renda exclusiva nas áreas rurais.","C","Infelizmente, Alagoas e grande parte do Nordeste apresentam altos índices de Gini, o que reflete uma forte desigualdade econômica e concentração de renda e terras nas mãos de poucos."
"Conhecimentos Socioeconômicos de Alagoas","Na infraestrutura de transportes, o principal porto marítimo do estado, fundamental para a exportação de açúcar e importação de fertilizantes, é o:","Porto de Suape.","Porto de Jaraguá (Porto de Maceió).","Porto de Santos.","Porto de Penedo.","B","Administrado pelo governo federal, o Porto de Maceió, localizado no bairro de Jaraguá, é a principal porta de entrada e saída por via marítima de Alagoas."
"Conhecimentos Socioeconômicos de Alagoas","No que tange à segurança hídrica e infraestrutura no semiárido, qual é a maior obra de engenharia de Alagoas destinada a levar água do Rio São Francisco para dezenas de municípios do Sertão e Agreste?","A Transposição do Rio Paraíba.","O Eixo Norte da Integração do São Francisco.","O Canal do Sertão (Canal do Sertão Alagoano).","O Açude de Orós.","C","O Canal do Sertão é uma obra monumental de mais de 250 km de extensão projetada para garantir o abastecimento humano, a dessedentação animal e a irrigação ao longo do semiárido alagoano."
"Conhecimentos Socioeconômicos de Alagoas","A principal rodovia federal longitudinal que corta o litoral e a Zona da Mata de Alagoas de norte a sul, interligando a capital Maceió aos estados de Pernambuco e Sergipe, é a:","BR-101.","BR-104.","BR-232.","BR-316.","A","A BR-101 é o eixo vital de transporte logístico da costa leste brasileira. Em Alagoas, ela passa paralelamente ao litoral, conectando as indústrias e o escoamento de safras da região da Zona da Mata."
"Conhecimentos Socioeconômicos de Alagoas","Historicamente, a Matriz Energética de Alagoas tem forte dependência e protagonismo de qual fonte de energia elétrica?","Termoelétrica a carvão mineral.","Hidrelétrica, proveniente principalmente do Complexo Hidrelétrico da CHESF no Rio São Francisco.","Usinas Nucleares locais.","Energia Geotérmica.","B","As hidrelétricas instaladas no Rio São Francisco (como Xingó, que fica entre AL e SE) são as grandes responsáveis pelo suprimento elétrico histórico do estado e de parte do Nordeste."
"Conhecimentos Socioeconômicos de Alagoas","Com o avanço da transição energética, o Sertão de Alagoas tem despontado nos últimos anos por receber investimentos em usinas produtoras de energias limpas, destacando-se as matrizes:","Nuclear e de Biomassa.","Solar (fotovoltaica) e Eólica.","Maremotriz e Gás Natural.","Hidrogênio verde offshore.","B","As condições climáticas do semiárido (alta insolação) e o regime de ventos tornaram o Sertão e áreas do Agreste polos atrativos para a instalação de parques eólicos e complexos solares."
"Conhecimentos Socioeconômicos de Alagoas","Durante muito tempo, as usinas de cana-de-açúcar de Alagoas utilizaram uma fonte de energia renovável para alimentar suas próprias caldeiras (cogeração de energia). Que fonte é essa?","O bagaço da cana-de-açúcar (biomassa).","O urânio enriquecido.","O etanol hidratado resfriado.","A energia eólica dos canaviais.","A","A queima do bagaço da cana (biomassa) em caldeiras é um processo clássico no setor sucroenergético, gerando vapor e eletricidade para tornar a usina autossuficiente em energia durante a safra."
"Conhecimentos Socioeconômicos de Alagoas","Na capital Maceió, um gravíssimo desastre socioambiental ocorreu a partir de 2018, causando o afundamento do solo (subsidência) e forçando a evacuação de dezenas de milhares de moradores. O evento foi provocado por qual atividade industrial?","A construção de uma represa hidrelétrica no Rio Mundaú.","A extração de minério de ferro pela Vale.","A extração de sal-gema, durante décadas, pela empresa Braskem.","A contaminação química de águas subterrâneas por postos de gasolina.","C","Os laudos do Serviço Geológico do Brasil (CPRM) atestaram que a atividade de mineração de sal-gema da Braskem causou instabilidade no subsolo, resultando em tremores e no afundamento do solo nos bairros afetados."
"Conhecimentos Socioeconômicos de Alagoas","A crise do afundamento do solo em Maceió afetou diretamente áreas urbanas históricas e populosas da cidade. Assinale a opção que indica bairros severamente impactados que tiveram de ser desocupados:","Ponta Verde e Pajuçara.","Pinheiro, Mutange, Bebedouro e Bom Parto.","Benedito Bentes e Clima Bom.","Farol e Jatiúca.","B","A desocupação em massa gerou 'bairros fantasmas', alterando a geografia urbana e causando a perda do patrimônio histórico, econômico e afetivo de dezenas de milhares de famílias nesses bairros situados ao longo da encosta e da lagoa."
"Conhecimentos Socioeconômicos de Alagoas","Sob o aspecto do 'Planejamento Sustentável e Responsabilidade Corporativa', a crise em Maceió evidenciou uma grave falha nas práticas ESG (Ambiental, Social e Governança) corporativas porque:","Houve exploração mineral desenfreada em área urbana sem monitoramento geológico adequado do risco de colapso das cavidades, resultando no maior desastre urbano em curso no país.","A empresa construiu prédios altos demais bloqueando a ventilação natural.","Houve recusa da empresa em plantar árvores nas calçadas das áreas rurais.","A empresa apenas deixou de pagar impostos estaduais.","A","A falta de monitoramento, preenchimento das minas esgotadas e falha na governança de risco geológico em ambiente urbano denotaram omissão grave de responsabilidade ambiental e social corporativa."
"Conhecimentos Socioeconômicos de Alagoas","O Turismo é um dos pilares da economia de Alagoas. O litoral norte do estado é mundialmente famoso pelas suas piscinas naturais e recifes, compondo a região turística conhecida como:","Cânions do São Francisco.","Caminhos do São Francisco.","Costa dos Corais, tendo Maragogi como seu principal polo.","Costa do Descobrimento.","C","A Costa dos Corais (segunda maior barreira de corais do mundo) abrange o litoral norte de Alagoas. Municípios como Maragogi e São Miguel dos Milagres são âncoras desse turismo ecológico e de lazer."
"Conhecimentos Socioeconômicos de Alagoas","O turismo histórico e cultural também possui roteiros de grande relevância em Alagoas, especialmente em cidades fundadas no período colonial. Qual cidade alagoana, localizada às margens do Rio São Francisco, é famosa por seu rico patrimônio arquitetônico e é frequentemente chamada de 'Ouro Preto do Nordeste'?","Arapiraca.","Palmeira dos Índios.","Penedo.","Maragogi.","C","Penedo, tombada pelo IPHAN, preserva um conjunto arquitetônico colonial barroco de igrejas, conventos e casarões às margens do Rio São Francisco."
"Conhecimentos Socioeconômicos de Alagoas","No sul de Alagoas, o turismo explora as belezas e a infraestrutura criadas a partir do represamento das águas do Rio São Francisco para a geração de energia. O grande atrativo turístico desta região são:","As dunas de areia fina e lagoas costeiras.","As corredeiras de rafting nas montanhas.","Os Cânions do Rio São Francisco, acessíveis por passeios de catamarã a partir de cidades como Piranhas.","A observação de baleias em alto mar.","C","A Usina Hidrelétrica de Xingó represou o rio, criando um grande lago navegável por entre as monumentais paredes rochosas dos cânions do São Francisco, gerando forte turismo na região de Piranhas (AL) e Canindé (SE)."
"Conhecimentos Socioeconômicos de Alagoas","A urbanização da cidade de Maceió se deu de forma desigual e segregada. Historicamente, enquanto a população de alta e média renda concentrou-se nos bairros da faixa litorânea (parte baixa e áreas planas costeiras), a população de baixa renda foi predominantemente empurrada para:","Os bairros planejados da Zona Sul litorânea.","Os vales dos rios do sertão do estado.","A 'parte alta' da cidade (Tabuleiro do Martins, Benedito Bentes) e encostas de grotas (favelização).","Os bairros centrais portuários de Jaraguá e Pajuçara.","C","O processo de expansão urbana de Maceió gerou forte segregação socioespacial. O Tabuleiro do Martins (parte alta) tornou-se a grande área de expansão habitacional popular, frequentemente distante da infraestrutura, somado ao crescimento populacional nas encostas (grotas)."
"Conhecimentos Socioeconômicos de Alagoas","A Região Metropolitana de Maceió (RMM) não é composta apenas pela capital. Qual dos municípios abaixo faz limite com Maceió, abriga o Polo Cloroquímico e possui fortes ligações pendulares com a capital?","Marechal Deodoro.","Arapiraca.","Santana do Ipanema.","Delmiro Gouveia.","A","Marechal Deodoro (antiga capital do estado) é parte integrante da RMM, abrigando o Polo Multifabril José Aprígio Vilela, praias turísticas (Francês) e grande conurbação econômica com Maceió."
"Conhecimentos Socioeconômicos de Alagoas","Fora da região metropolitana da capital, o processo de urbanização em Alagoas tem fortalecido as chamadas 'cidades médias', que servem de polos comerciais e de serviços para os municípios vizinhos. A cidade que é o maior expoente e a segunda maior do estado em população e economia é:","São Miguel dos Campos.","Palmeira dos Índios.","União dos Palmares.","Arapiraca.","D","Arapiraca, no coração do Agreste alagoano, é o principal polo comercial, atacadista e educacional do interior do estado, consolidando-se como uma das mais dinâmicas cidades médias do Nordeste."
