"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","No Modelo OSI, qual equipamento de rede atua primordialmente na Camada 2 (Enlace de Dados), utilizando endereços MAC para encaminhar os quadros (frames) na mesma rede local?","Roteador.","Switch L2 (Comutador).","Hub.","Firewall de Aplicação.","B","O Switch de camada 2 cria uma tabela MAC (Tabela CAM) para enviar o tráfego unicast de forma inteligente e direta à porta de destino, operando na Camada de Enlace."
"Informática","Para economizar endereços e manter o roteamento eficiente no cálculo de sub-redes IPv4, conexões ponto a ponto (roteador para roteador) utilizam frequentemente qual máscara de sub-rede?","/24 (255.255.255.0)","/30 (255.255.255.252)","/8 (255.0.0.0)","/32 (255.255.255.255)","B","A máscara /30 reserva 2 bits para hosts, gerando exatamente 2 endereços IP válidos (2^2 - 2), o tamanho ideal e sem desperdícios para ligar um roteador ao outro (ponto a ponto)."
"Informática","O protocolo TCP implementa o controle de fluxo para evitar que um transmissor rápido sobrecarregue um receptor lento. Qual mecanismo o TCP utiliza para isso?","Algoritmo de Hash MD5.","Tamanho da Janela Deslizante (Sliding Window).","CSMA/CD.","NAT estático.","B","O tamanho da janela (Window Size) informa ao remetente quantos bytes o receptor pode receber antes de precisar enviar uma nova confirmação (ACK), regulando a velocidade da transmissão."
"Informática","Ao criar a imagem de um container Docker utilizando um arquivo 'Dockerfile', qual instrução é usada para documentar a porta de rede que o container escutará durante o tempo de execução?","RUN","CMD","EXPOSE","PORT","C","A instrução EXPOSE informa ao Docker que o container escutará nas portas de rede especificadas no tempo de execução, atuando como uma documentação entre o construtor da imagem e quem vai rodar o container."
"Informática","Em pipelines de CI/CD (Integração e Entrega Contínuas), ferramentas como o Jenkins, GitLab CI ou GitHub Actions utilizam predominantemente qual formato de arquivo para definir as etapas do pipeline de forma declarativa?","BIN","EXE","YAML (ou YML)","SQL","C","O YAML é a linguagem padrão de serialização de dados amplamente adotada por ferramentas de DevOps (CI/CD, Kubernetes, Ansible) por ser altamente legível para humanos."
"Informática","A assinatura digital utiliza criptografia assimétrica para garantir a integridade e o não-repúdio de um documento. Como funciona o processo básico de assinar digitalmente um documento?","O emissor criptografa o documento inteiro usando a chave pública do receptor.","O emissor gera o hash do documento e criptografa esse hash com sua CHAVE PRIVADA.","O emissor usa uma chave simétrica de 256 bits para bloquear a edição do PDF.","O receptor utiliza sua chave privada para assinar o documento que recebeu.","B","Ao criptografar o hash com a própria chave privada, o autor garante a autenticidade (só ele tem a chave) e a integridade (qualquer alteração no documento gerará um hash diferente na verificação com a chave pública)."
"Informática","A certificação digital no Brasil segue a estrutura da ICP-Brasil. Qual é o papel de uma Autoridade Certificadora (AC) nesse modelo?","Traduzir IPs em Nomes de Domínio.","Rastrear e prender hackers que invadem redes públicas.","Emitir, revogar e gerenciar certificados digitais que atestam a identidade de usuários, empresas e servidores.","Atuar como um firewall de banco de dados nos Institutos Federais.","C","A Autoridade Certificadora (AC) é a entidade de confiança que verifica a identidade do solicitante e emite o certificado digital, assinando-o digitalmente para atestar sua validade."
"Informática","Qual protocolo de VPN é considerado moderno, extremamente rápido, possui código-fonte muito menor (facilitando auditorias de segurança) e utiliza criptografia de ponta a ponta implementada diretamente no kernel do Linux?","IPsec.","OpenVPN.","PPTP.","WireGuard.","D","O WireGuard é uma VPN de nova geração, elogiada por sua simplicidade, altíssima performance, estado 'stateless' e integração direta e eficiente no kernel."
"Informática","A ISO 27001 baseia seu modelo de melhoria contínua em um ciclo iterativo de gestão muito conhecido na administração. Qual é esse ciclo?","Ciclo de Vida do Desenvolvimento de Software (SDLC).","Ciclo PDCA (Plan-Do-Check-Act).","Cascata (Waterfall).","Scrum Master Sprint.","B","A ISO 27001 adota o ciclo PDCA (Planejar, Fazer, Checar, Agir) para estabelecer, implementar, manter e melhorar continuamente o Sistema de Gestão da Segurança da Informação (SGSI)."
"Informática","Na sintaxe CSS, qual o seletor utilizado para aplicar um estilo exclusivamente ao elemento HTML que possui um identificador (id) específico na página?","O símbolo do ponto ( . ).","O símbolo do asterisco ( * ).","O símbolo de cerquilha ( # ).","O símbolo do arroba ( @ ).","C","No CSS, o seletor de ID é representado pela cerquilha (#). Por exemplo, '#cabecalho' selecionará o elemento HTML que contém 'id=\"cabecalho\"'."
"Língua Portuguesa","No estudo das tipologias e gêneros textuais, um 'Editorial' de um jornal é um gênero que pertence predominantemente à sequência textual:","Narrativa, pois conta os acontecimentos do dia.","Injuntiva, pois dita regras aos assinantes do jornal.","Descritiva, pois retrata o perfil dos editores.","Argumentativa, pois expressa a opinião e o posicionamento do veículo de comunicação sobre um tema.","D","O editorial é o texto em que o jornal expressa sua opinião oficial sobre um fato recente, tentando persuadir o leitor, sendo assim eminentemente argumentativo."
"Língua Portuguesa","A coesão textual pode ser referencial ou sequencial. A coesão sequencial ocorre principalmente pelo uso de:","Sinônimos e hiperônimos.","Conjunções e conectivos lógicos.","Pronomes relativos.","Elipses do sujeito.","B","Enquanto a coesão referencial lida com a substituição e retomada de palavras (pronomes, sinônimos), a coesão sequencial faz a progressão lógica do texto através dos conectivos e conjunções (mas, logo, porém, porque)."
"Língua Portuguesa","De acordo com as regras do Novo Acordo Ortográfico, assinale a alternativa em que a palavra com prefixo está escrita CORRETAMENTE:","Auto-escola.","Micro-ondas.","Anti-social.","Neo-liberalismo.","B","A regra básica para vogais dita que se separam com hífen vogais IGUAIS (micro-ondas, anti-inflamatório). Se as vogais forem diferentes, junta-se tudo (autoescola). Se o prefixo terminar em vogal e a segunda palavra começar com R ou S, junta-se dobrando a consoante (antissocial, neoliberalismo)."
"Língua Portuguesa","Qual a diferença de sentido acarretada pela mudança de posição do adjetivo na expressão 'um grande homem' e 'um homem grande'?","A primeira refere-se à estatura física; a segunda à importância moral.","A primeira refere-se à importância, caráter ou relevância; a segunda refere-se à estatura física (alto).","Ambas significam a mesma coisa, pois a ordem dos fatores não altera o valor do sintagma nominal.","A primeira é um pleonasmo e a segunda é a forma culta correta.","B","A anteposição do adjetivo neste caso altera a semântica: 'grande homem' aponta para nobreza de caráter ou feito, enquanto 'homem grande' aponta unicamente para tamanho/estatura física."
"Língua Portuguesa","Na locução adverbial feminina 'às vezes', o uso da crase é:","Facultativo.","Proibido, pois 'vezes' está no plural.","Obrigatório, para evitar ambiguidade e por ser locução adverbial de base feminina.","Obrigatório apenas se for acompanhado de um verbo transitivo indireto.","C","É regra fixa: as locuções adverbiais, prepositivas e conjuntivas formadas por palavras femininas (às pressas, às ocultas, à direita, às vezes) recebem crase obrigatoriamente."
"Língua Portuguesa","Qual é a função da vírgula na oração: 'Os professores, com efeito, não concordaram com as novas diretrizes'?","Isolar o sujeito simples da oração.","Separar orações coordenadas assindéticas.","Isolar uma expressão explicativa ou retificativa intercalada.","Isolar um aposto especificativo.","C","Expressões de caráter explicativo, retificativo ou de realce (isto é, por exemplo, com efeito, ou seja) devem ser isoladas por vírgulas quando intercaladas na oração."
"Língua Portuguesa","Complete corretamente: '______ dois meses, o diretor interveio na situação para que não ______ mais atritos.'","Fazem / ouvesse","Fazem / houvesse","Faz / houvesse","Faz / ouvessem","C","O verbo 'fazer' indicando tempo decorrido é impessoal, ficando na 3ª pessoa do singular (Faz). O verbo 'haver' no sentido de existir também é impessoal, ficando no singular (houvesse)."
"Língua Portuguesa","A respeito da regência do verbo 'visar', quando significa 'ter em vista' ou 'objetivar', qual é a preposição exigida e sua transitividade?","Transitivo direto, não exige preposição.","Transitivo indireto, exige preposição 'a'.","Transitivo indireto, exige preposição 'de'.","Intransitivo.","B","No sentido de almejar, desejar, ter por objetivo, o verbo 'visar' exige a preposição 'a' (Ex: O projeto visa à melhoria do ensino)."
"Língua Portuguesa","Na oração 'Preferiu o cinema ao teatro', a regência do verbo 'preferir' está:","Incorreta, deveria ser 'preferiu o cinema do que o teatro'.","Correta, pois o verbo 'preferir' é transitivo direto e indireto e exige a preposição 'a' e não a locução 'do que'.","Incorreta, falta o uso de crase antes de teatro.","Incorreta, a preposição 'a' deve ser substituída por 'mais que'.","B","Na norma culta, o verbo 'preferir' pede dois complementos: um sem preposição e outro com preposição 'a'. É errado usar 'preferir mil vezes' ou 'preferir isso DO QUE aquilo'."
"Língua Portuguesa","Qual relação semântica existe entre as palavras 'acento' (sinal gráfico) e 'assento' (lugar de sentar)?","Antonímia.","Homofonia.","Homografia.","Paronímia.","B","Ambas possuem exatamente o mesmo som (são homófonas), mas grafias diferentes e significados diferentes."
"Língua Portuguesa","A oração 'O homem QUE ESTÁ DE CAMISA VERMELHA é o novo coordenador' contém qual tipo de oração subordinada?","Subordinada Adjetiva Explicativa.","Subordinada Adjetiva Restritiva.","Subordinada Substantiva Completiva Nominal.","Subordinada Adverbial Condicional.","B","O pronome relativo 'que' introduz uma oração adjetiva. Como NÃO está isolada por vírgulas e restringe o sentido do substantivo 'homem' (não é qualquer homem, é o de camisa vermelha), ela é restritiva."
"Língua Portuguesa","O uso da palavra 'se' atua como CONJUNÇÃO SUBORDINATIVA CONDICIONAL em qual das frases abaixo?","Precisa-se de serventes de pedreiro.","A menina penteou-se vagarosamente.","Não sei se haverá aula amanhã.","Se você estudar, será recompensado.","D","Na opção D, o 'se' indica uma condição (caso você estude, será recompensado). Na A é índice de indeterminação, na B é pronome reflexivo, e na C é conjunção integrante."
"Língua Portuguesa","'Tráfego' (trânsito) e 'Tráfico' (comércio ilícito) representam um caso clássico de:","Hiponímia.","Homônimos perfeitos.","Paronímia.","Polissemia.","C","São palavras parônimas, pois possuem grafia e pronúncia muito parecidas, mas significados distintos."
"Língua Portuguesa","Em 'Ou você estuda, ou você trabalha', temos orações coordenadas sindéticas de qual tipo?","Aditivas.","Adversativas.","Explicativas.","Alternativas.","D","A conjunção repetida 'ou... ou' estabelece uma relação de alternância ou exclusão entre os fatos das orações coordenadas."
"Língua Portuguesa","Na formação de palavras, o neologismo 'Amanhecer' é originado pela junção simultânea do prefixo 'a-' e do sufixo '-ecer' ao radical 'manhã'. Se tirarmos um dos afixos, a palavra não existe ('amanhã' tem outro sentido e 'manhecer' não existe). Como se chama esse processo?","Derivação prefixal e sufixal.","Composição por aglutinação.","Derivação parassintética (Parassíntese).","Derivação imprópria.","C","A parassíntese ocorre quando há o acréscimo simultâneo e interdependente de um prefixo e um sufixo a um radical; sem um deles, a palavra deixa de existir na língua."
"Língua Portuguesa","Assinale a frase em que o emprego do pronome de tratamento está de acordo com a norma culta, sabendo que ele exige o verbo na terceira pessoa:","Vossa Excelência estais cansado?","Sua Senhoria confirmou sua presença no evento amanhã.","Vossa Magnificência aprovaram o novo regulamento.","Vossa Senhoria precisas de ajuda?","B","Embora os pronomes de tratamento se dirijam à segunda pessoa (com quem se fala), a concordância verbal e pronominal deve ser feita na TERCEIRA PESSOA do singular ou plural."
"Língua Portuguesa","A frase 'O juiz julgou o réu CULPADO' apresenta um predicado:","Verbal.","Nominal.","Verbo-nominal.","Implicito.","C","O predicado verbo-nominal possui dois núcleos: um verbo de ação (julgou) e um predicativo (culpado), que atribui uma característica ao objeto direto (o réu)."
"Língua Portuguesa","'O atleta brasileiro conquistou a medalha'. O verbo 'conquistar' é classificado nesta oração como:","Verbo transitivo direto.","Verbo transitivo indireto.","Verbo intransitivo.","Verbo de ligação.","A","O verbo 'conquistar' exige um complemento sem preposição para fazer sentido completo (conquistou o quê? a medalha). A medalha funciona como objeto direto."
"Língua Portuguesa","No trecho 'Os alunos chegaram cansados, PORTANTO foram dormir cedo', a conjunção sublinhada pode ser substituída, sem alteração de sentido e da classificação sintática, por:","Entretanto.","Por conseguinte.","Porque.","Ainda que.","B","'Portanto' é uma conjunção conclusiva. 'Por conseguinte', 'logo', 'assim' e 'então' também o são, mantendo o exato sentido do texto."
"Legislação","A Constituição Federal garante aos servidores públicos civis o direito à livre associação sindical. O direito de greve para esses servidores:","É proibido em qualquer circunstância.","É de exercício imediato, sem restrições legais.","Será exercido nos termos e nos limites definidos em lei específica.","Aplica-se apenas aos servidores das esferas municipais.","C","Conforme o Art. 37, inciso VII da CF/88, o direito de greve será exercido nos termos e nos limites definidos em lei específica (embora o STF tenha mandado aplicar a lei do setor privado enquanto o Congresso não legisla sobre o tema)."
"Legislação","Na Lei 8.112/90, o deslocamento do servidor, a pedido ou de ofício, no âmbito do mesmo quadro, com ou sem mudança de sede, sem que ocorra a vacância do cargo, denomina-se:","Redistribuição.","Remoção.","Reintegração.","Transferência.","B","O Art. 36 define que a Remoção é o deslocamento do SERVIDOR dentro do mesmo quadro. A Redistribuição (Art. 37) é o deslocamento do CARGO de provimento efetivo para outro órgão."
"Legislação","A Lei de Diretrizes e Bases da Educação (LDB) estipula que o ensino militar é regulado por lei específica, no entanto, para a concessão de diplomas:","As instituições militares operam fora das regras do sistema educacional nacional, emitindo diplomas de validade apenas interna.","Admite-se a equivalência de estudos, de acordo com as normas fixadas pelos sistemas de ensino.","Os militares perdem o direito à educação pública civil.","A carga horária é reduzida pela metade e os diplomas dispensam registro no MEC.","B","O Art. 83 da LDB assegura que o ensino militar é regulado por lei específica, sendo garantida a equivalência de estudos para fins de obtenção e reconhecimento de diplomas civilmente."
"Legislação","Segundo a Lei 11.892/08 (Criação dos Institutos Federais), os IFs são equiparados às universidades federais para qual finalidade específica?","Para cobrança de mensalidades nos cursos de pós-graduação.","Para fins de submissão exclusiva ao regime de tributação privada.","Para efeito da incidência das disposições que regem a regulação, avaliação e supervisão das instituições e dos cursos de educação superior.","Não há qualquer equiparação legal entre IFs e Universidades Federais.","C","O Art. 2º, § 1º determina que para fins de regulação, avaliação e supervisão dos cursos de educação superior, os IFs são equiparados às universidades federais."
"Legislação","A Lei 12.772/12 (Carreira EBTT) estabelece que as atividades de magistério compreendem as relacionadas ao ensino, pesquisa e extensão. A participação em atividades de gestão e administração nas IFEs:","É proibida aos professores do magistério.","Suspende o pagamento da remuneração do docente durante o mandato.","É facultativa aos docentes no regime de 20 horas, mas vedada aos de Dedicação Exclusiva.","Integra as atividades do magistério e o rol de deveres/possibilidades de atuação do docente.","D","As atividades de gestão, representação, direção e administração institucional (ser diretor, coordenador de curso, pró-reitor) são consideradas atividades inerentes à carreira de magistério, conforme expresso na lei."
"Legislação","O Código de Ética Profissional do Servidor (Decreto 1.171/94) afirma que o trabalho desenvolvido pelo servidor perante a comunidade deve ser entendido como um acréscimo:","Ao seu próprio bem-estar material, permitindo enriquecimento pessoal rápido.","Ao seu próprio bem-estar, já que, como cidadão, integrante da sociedade, o êxito desse trabalho pode ser considerado como seu maior patrimônio.","Único e exclusivo ao currículo dele, não beneficiando a sociedade.","Aos tributos devidos pelo Estado, que se tornarão mais pesados.","B","Nas regras deontológicas (Inciso V), a ética prevê que o trabalho perante a comunidade soma ao bem-estar do servidor, pois ele mesmo é cidadão e colhe os frutos de uma sociedade melhor organizada."
"Legislação","De acordo com a Lei Brasileira de Inclusão (Lei 13.146/15), a pessoa com deficiência está submetida a um novo paradigma jurídico quanto à sua capacidade civil. Qual é esse paradigma?","A deficiência afeta plenamente a capacidade civil, tornando a pessoa sempre absolutamente incapaz.","A deficiência não afeta a plena capacidade civil da pessoa, inclusive para casar-se, exercer direitos sexuais e reprodutivos.","A pessoa com deficiência sofre curatela automática e total ao completar 18 anos.","O direito ao voto é vedado à pessoa com deficiência intelectual.","B","A LBI alterou o Código Civil (Art. 6º da LBI) garantindo que a deficiência não afeta a capacidade civil da pessoa, extinguindo a presunção legal de incapacidade absoluta baseada exclusivamente na deficiência."
"Legislação","O crime de 'Peculato-Culposo' (Código Penal, Art. 312, § 2º) ocorre quando o funcionário concorre culposamente para o crime de outrem. Qual é o benefício legal se o servidor reparar o dano antes de uma sentença irrecorrível?","Sua pena é dobrada por confessar.","A reparação do dano, se precede a sentença irrecorrível, extingue a punibilidade.","A pena é mantida na íntegra, apenas o processo corre em sigilo.","A pena é convertida em exoneração sumária imediata.","B","No peculato culposo, se o servidor repara o dano antes do trânsito em julgado (sentença irrecorrível), a punibilidade é extinta. Se reparar depois, a pena imposta é reduzida pela metade."
"Legislação","De acordo com a Lei 9.784/99 (Processo Administrativo), as intimações aos interessados devem ocorrer com antecedência mínima de quantos dias úteis quanto à data de comparecimento?","2 dias úteis.","3 dias úteis.","5 dias úteis.","10 dias úteis.","B","O Art. 26, § 2º da Lei 9.784/99 determina que a intimação do interessado para comparecimento deve observar a antecedência mínima de três dias úteis."
"Legislação","A Lei de Improbidade Administrativa (8.429/1992) prevê a medida cautelar de INDISPONIBILIDADE DE BENS do investigado. Com a reforma da lei, a indisponibilidade:","Ocorre automaticamente com o início de qualquer denúncia anônima.","Atinge todo o patrimônio do agente, incluindo conta poupança em valor ínfimo e bem de família, sem exceções.","Recairá sobre bens que assegurem o integral ressarcimento do dano ou o acréscimo patrimonial resultante do enriquecimento ilícito, mas não deve atingir até 40 salários mínimos depositados em caderneta de poupança ou bem de família.","Substitui a prisão preventiva do agente.","C","A reforma da LIA (Art. 16, § 13 e § 14) modernizou e limitou a cautelar, protegendo verbas de subsistência, quantias até 40 salários mínimos e o bem de família (salvo se fruto de enriquecimento ilícito)."
"Legislação","A LGPD (Lei 13.709/2018) prevê que incidentes de segurança (vazamento de dados) que possam acarretar risco ou dano relevante aos titulares devem ser comunicados por quem, e a quem?","O Titular deve avisar à Polícia Federal.","O Controlador deve comunicar à ANPD e ao Titular dos dados, em prazo razoável.","O Operador deve comunicar exclusivamente ao Ministério Público.","O Presidente da República deve comunicar no Diário Oficial.","B","O Art. 48 da LGPD estabelece a obrigatoriedade de o Controlador (quem detém o poder de decisão sobre os dados) informar a Autoridade Nacional (ANPD) e aos titulares caso ocorra um vazamento com risco."
"Legislação","Na Lei de Acesso à Informação (Lei 12.527/11), quando um pedido de acesso à informação for negado (indeferido) no Serviço de Informação ao Cidadão (SIC), o requerente possui qual direito?","Direito de recorrer da decisão no prazo de 10 dias a contar da sua ciência.","Perde definitivamente o direito de requerer qualquer outra informação do Estado.","Pode apenas abrir um processo judicial de Habeas Corpus.","Pode recorrer administrativamente, mas apenas se pagar uma taxa processual.","A","O Art. 15 da LAI garante o direito ao recurso no prazo de 10 dias após a ciência da negativa, sendo o recurso dirigido à autoridade hierarquicamente superior à que negou o acesso (e não há cobrança de taxas)."
"Legislação","A Portaria MGI 6.719/2024 aborda infrações disciplinares e promove a educação institucional. Segundo suas diretrizes, quando uma conduta de assédio ocorrer em ambiente virtual (redes sociais, WhatsApp corporativo), como a Administração deve tratá-la?","Ignorar, pois ocorreu fora do ambiente físico do prédio público.","Tratar com a mesma gravidade e tipificação, pois a comunicação virtual institucional é extensão do ambiente de trabalho.","Enviar o caso para a Polícia Civil e extinguir o processo interno.","Suspender o serviço de internet do prédio inteiro.","B","O assédio moral e sexual ocorrido em meios eletrônicos (teletrabalho, chats institucionais, e-mails) produz os mesmos efeitos e é tratado com a mesma seriedade e rito processual das ocorrências físicas."
"Legislação","Segundo a Lei 8.027/90 (Normas de Conduta dos Servidores), são penalidades disciplinares, EXCETO:","Advertência.","Suspensão.","Demissão.","Prisão civil temporária.","D","As penalidades disciplinares no âmbito da administração não incluem penas restritivas de liberdade (prisão), as quais cabem exclusivamente ao Poder Judiciário por meio do Direito Penal. As penas são Administrativas (Advertência, suspensão, demissão, cassação de aposentadoria, etc)."
"Legislação","O SINAEPT (Decreto 12.603/2025) avalia a Educação Profissional e Tecnológica por meio de processos interativos. A autoavaliação institucional (conduzida pela própria CPA - Comissão Própria de Avaliação do instituto) é um procedimento:","Dispensável e meramente ilustrativo para cursos EaD.","Rejeitado pelo MEC, que utiliza apenas provas externas do ENADE.","Fundamental, complementando a avaliação externa para compor um diagnóstico fiel e subsidiando o planejamento estratégico da instituição.","Proibido por violar a isenção de dados.","C","A autoavaliação conduzida pelas CPAs é peça chave dos sistemas de avaliação no Brasil (SINAES e agora formalizado no SINAEPT para EPT), ajudando a comunidade a entender suas deficiências e forças antes da avaliação de comissões externas."
"Legislação","A Lei 8.112/90 prevê o 'Afastamento para Estudo ou Missão no Exterior' (Art. 95). Em regra, qual é a condição imposta ao servidor ao retornar desse afastamento caso tenha ocorrido com ônus (remunerado) para a Administração?","Ele deve devolver todo o dinheiro gasto ao Tesouro Nacional.","Ele deve solicitar exoneração para trabalhar em empresas estrangeiras parcerias do Governo.","Não será concedido novo afastamento ou exoneração antes de decorrido período igual ao do afastamento, salvo ressarcimento das despesas.","Ele deve dar aulas de idiomas gratuitas.","C","O servidor assina um compromisso de permanência no serviço público. Se ele ficar fora por 2 anos para um mestrado remunerado no exterior, ele é obrigado a trabalhar pelo menos mais 2 anos no órgão ao voltar, ou ressarcir o erário."
"Legislação","Decreto 5.154/2004 (Educação Profissional): Os cursos e programas de formação inicial e continuada de trabalhadores (FIC), também conhecidos como qualificação profissional, são caracterizados por:","Exigirem, obrigatoriamente, diploma de graduação prévio.","Estarem abertos apenas a quem concluiu o ensino médio.","Serem incluídos na educação básica de nível fundamental e independerem de escolaridade prévia padronizada.","Terem currículos abertos e flexíveis, sem vinculação estrita com etapas de escolaridade, visando a inserção rápida no mundo do trabalho.","D","O Art. 3º do Decreto 5.154/04 descreve que os cursos FIC (Qualificação) não exigem escolaridade mínima obrigatória rígida para todos (embora cada curso defina seus pré-requisitos) e têm estrutura muito mais flexível."
"Legislação","Na Lei 11.892/2008, os Institutos Federais possuem, na sua estrutura de gestão local (em cada Campus), um órgão equivalente ao Conselho Superior da Reitoria, porém de atuação regional (no âmbito do Campus). Como é chamado esse conselho?","Colégio de Coordenadores.","Conselho de Classe.","Comitê de Ética.","Conselho de Campus.","D","Embora não citado com este nome exato na lei original (sendo frequentemente detalhado nos Estatutos e Regimentos dos IFs, que a lei manda elaborar), o Art 12 e os regimentos estabelecem o modelo democrático que se traduz no âmbito de cada unidade através do Conselho de Campus ou Conselho Diretor."
"Legislação","O art. 208 da CF/88 estabelece que o dever do Estado com a educação será efetivado mediante a garantia de:","Educação básica gratuita exclusivamente aos que possuem idade entre 4 e 17 anos, sendo paga para quem estiver fora dessa faixa.","Educação básica obrigatória e gratuita dos 4 aos 17 anos de idade, e acesso aos níveis mais elevados de ensino para todos sem critério de capacidade.","Educação básica obrigatória e gratuita dos 4 (quatro) aos 17 (dezessete) anos de idade, assegurada inclusive sua oferta gratuita para todos os que a ela não tiveram acesso na idade própria.","Fim da educação superior pública gratuita em 2030.","C","O inciso I (redação dada pela EC nº 59/2009) universalizou a educação básica obrigatória dos 4 aos 17 anos (Pré-escola, Fundamental e Médio), garantindo que aqueles que não cursaram na idade certa (EJA) tenham também direito gratuito a ela."
"Legislação","No Estatuto de Igualdade Racial (Lei 12.288/10), o poder público fomentará o pleno acesso da população negra ao mercado de trabalho. Um dos mecanismos mencionados na lei (Art. 39) para promover a igualdade nas relações de trabalho refere-se ao incentivo a:","Organizações criminosas informais.","Trabalho infantil não regulamentado.","Iniciativas de empresas privadas e públicas em promover a igualdade e diversidade de raça em seu quadro de pessoal e instâncias de direção.","Demissão em massa de trabalhadores de outras etnias.","C","O poder público adotará medidas que incentivem as empresas (setor privado e público) a garantirem igualdade e diversidade no quadro de funcionários e também nos altos cargos de liderança, combatendo o racismo institucional."
