"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Sistemas IDS (Intrusion Detection System) e IPS (Intrusion Prevention System) atuam na segurança da rede. Qual a diferença fundamental entre eles?","O IPS apenas emite alertas (passivo), enquanto o IDS bloqueia a ameaça (ativo).","O IDS não detecta malwares, apenas escaneia vulnerabilidades web.","O IDS monitora e emite alertas sobre tráfego malicioso (passivo); o IPS detecta e toma ações imediatas para bloquear o tráfego ofensivo (ativo).","Ambos substituem a necessidade de firewalls de rede convencionais.","C","O 'Detection' (IDS) serve para identificar e reportar. O 'Prevention' (IPS) age proativamente derrubando a conexão ou bloqueando os pacotes na rede."
"Informática","Em redes corporativas, qual a principal função de um 'Proxy Web' (Proxy de Encaminhamento / Forward Proxy)?","Receber requisições da internet e roteá-las para servidores internos de forma invisível.","Isolar fisicamente o servidor de banco de dados da aplicação web.","Atuar como intermediário para as requisições dos usuários internos para a internet, permitindo cacheamento, filtragem e controle de acesso.","Realizar balanceamento de carga de CPU local.","C","O Forward Proxy (Proxy de rede local) representa os clientes internos perante a internet externa, podendo bloquear sites indesejados e economizar banda com cache."
"Informática","Sobre normas de cabeamento estruturado, a topologia física obrigatória para redes LAN com par trançado e pontos de telecomunicação centrais é a:","Anel.","Barramento.","Estrela (ou Estrela Estendida).","Malha completa (Full Mesh).","C","Os padrões de cabeamento estruturado (como o EIA/TIA 568) exigem a topologia física em estrela, onde todos os cabos se concentram em um ponto central (Patch Panel/Switch)."
"Informática","O SNMP versão 3 (SNMPv3) introduziu quais melhorias vitais em relação às versões anteriores (v1 e v2c) no monitoramento de redes?","O conceito de MIB e OID.","Recursos robustos de autenticação criptográfica e privacidade (criptografia) das mensagens.","O uso do protocolo TCP no lugar do UDP.","A transição exclusiva para endereçamento IPv6.","B","As versões v1 e v2c do SNMP transmitiam dados e senhas (community strings) em texto claro. O SNMPv3 introduziu segurança real através de autenticação e criptografia dos dados."
"Informática","Ferramentas de 'Infraestrutura como Código' (IaC), como o Terraform, adotam uma abordagem declarativa. O que isso significa?","O administrador deve escrever o passo a passo exato (scripts imperativos) de como o servidor deve ser configurado.","O administrador define o 'estado final desejado' da infraestrutura, e a ferramenta descobre automaticamente os passos para criá-la.","A ferramenta só funciona declarando variáveis de ambiente no Linux.","As configurações só podem ser feitas via interface gráfica web.","B","Na IaC declarativa (como Terraform), você declara qual deve ser o estado final (ex: 'quero 3 VMs iguais'). A ferramenta calcula as dependências e executa as APIs do provedor de nuvem para atingir esse estado."
"Língua Portuguesa","Na oração 'Estudamos bastante para o concurso; logo, seremos aprovados', a conjunção 'logo' estabelece uma relação semântica de:","Concessão.","Causa.","Conclusão.","Adversidade.","C","A conjunção coordenativa 'logo' possui valor conclusivo, indicando uma dedução lógica em relação à oração anterior (assim como 'portanto', 'por isso')."
"Língua Portuguesa","Qual é a função do termo destacado em: 'O edital, DOCUMENTO NORMATIVO DO CONCURSO, foi publicado na sexta-feira'?","Vocativo.","Predicativo do Sujeito.","Aposto Explicativo.","Adjunto Adverbial de Tempo.","C","O termo entre vírgulas explica, detalha e esclarece o sentido do substantivo anterior ('O edital'), configurando-se como aposto explicativo."
"Língua Portuguesa","De acordo com as regras do uso dos porquês, assinale a frase CORRETA:","Não sabemos o por que de tanta confusão.","Por que você não entregou o relatório no prazo?","O caminho porque passamos estava interditado.","Estudo todos os dias, porquê quero passar.","B","No início de frases interrogativas (diretas ou indiretas), ou quando puder ser substituído por 'por qual motivo', usa-se 'Por que' (separado e sem acento)."
"Língua Portuguesa","No tocante às regras de acentuação, as palavras 'saída' e 'saúde' são acentuadas devido à regra:","Das oxítonas terminadas em A e E.","Das proparoxítonas aparentes.","Dos hiatos, em que as vogais 'i' ou 'u' formam sílaba sozinhas ou com 's'.","Dos ditongos abertos crescentes.","C","Acentuam-se o 'i' e o 'u' tônicos que formam hiato com a vogal anterior, estando sozinhos na sílaba (sa-í-da, sa-ú-de) ou seguidos de 's'."
"Língua Portuguesa","Considerando a concordância nominal, complete adequadamente a frase: 'Seguem ________ os documentos, pois as planilhas estão ________'.","anexo / inclusa","anexos / inclusas","anexo / inclusas","anexas / inclusos","B","As palavras 'anexo' e 'incluso' são adjetivos e devem concordar em gênero e número com os substantivos aos quais se referem (os documentos -> anexos; as planilhas -> inclusas)."
"Língua Portuguesa","Identifique a alternativa em que a concordância verbal está INCORRETA:","Fui eu quem resolveu o problema.","Fui eu que resolvi o problema.","Fomos nós que resolvemos o problema.","Fui eu quem resolvi o problema. As opções A, B e C estão corretas. (Todas estão, mas a d está dizendo que A B e C estão corretas. Como é uma questão de multipla escolha, vamos refazer. Assinale a INCORRETA:)","D","Atenção para esta regra: Com pronome 'que', o verbo concorda com o antecedente ('eu que resolvi'). Com pronome 'quem', o verbo fica na 3ª pessoa do singular ('eu quem resolveu') OU concorda com o antecedente ('eu quem resolvi'). Todas as formas citadas nas opções são aceitas gramaticalmente, tornando a questão inválida caso não tenha erro claro. Vamos gerar outra justificativa se a D fosse 'Fui eu que resolveu'." *Nota: Ajustarei a linha CSV abaixo.*"
"Língua Portuguesa","Assinale a alternativa onde a concordância verbal está INCORRETA:","Mais de um aluno faltou à prova.","Fui eu que fiz o projeto.","Fui eu quem fez o projeto.","Fui eu que fez o projeto.","D","Com o pronome relativo 'que', o verbo deve obrigatoriamente concordar com o termo antecedente (eu). O correto é: 'Fui eu que fiz'."
"Língua Portuguesa","Quanto à regência dos verbos 'lembrar' e 'esquecer', assinale a frase que desrespeita a norma-padrão:","Esqueci os livros na mesa.","Esqueci-me dos livros na mesa.","Lembrei-me do aviso do professor.","Lembrei do aviso do professor.","D","Os verbos esquecer/lembrar não pronominais são transitivos diretos (Esqueci os livros). Quando são pronominais, exigem a preposição 'de' (Esqueci-me dos livros). A opção D mistura as regras: falta o pronome 'me' antes de usar a preposição 'do'."
"Língua Portuguesa","A regência nominal estuda a relação do nome com seu complemento. O adjetivo 'inerente' exige a preposição:","a","de","com","para","A","O que é inerente, é inerente 'A' alguma coisa. (Ex: O risco é inerente à profissão)."
"Língua Portuguesa","Em 'Ainda que chova muito, o evento não será cancelado', a oração sublinhada expressa ideia de:","Condição.","Consequência.","Concessão.","Finalidade.","C","A locução 'ainda que' introduz uma oração concessiva, isto é, um fato que contraria a oração principal, mas não impede sua realização (é sinônimo de 'embora')."
"Língua Portuguesa","As palavras 'eminente' e 'iminente' são:","Sinônimos perfeitos.","Parônimos.","Homônimos perfeitos.","Antônimos absolutos.","B","Parônimos são palavras muito parecidas na grafia e na pronúncia, mas de sentidos diferentes. 'Eminente' significa ilustre/elevado. 'Iminente' significa algo prestes a acontecer."
"Língua Portuguesa","Em 'Nós estávamos certos DA VITÓRIA', o termo em destaque funciona sintaticamente como:","Objeto indireto.","Complemento nominal.","Adjunto adverbial.","Predicativo do objeto.","B","O termo 'da vitória' completa o sentido do adjetivo 'certos', sendo indispensável para o entendimento da palavra, caracterizando-se como complemento nominal."
"Língua Portuguesa","A palavra 'ponto' pode significar: marca de pontuação, local de ônibus, estágio de uma situação ou momento específico. O fenômeno linguístico em que uma palavra assume múltiplos significados inter-relacionados dependendo do contexto chama-se:","Hiponímia.","Antonímia.","Polissemia.","Sinonímia.","C","A polissemia ocorre quando uma mesma palavra passa a reunir vários significados conexos devido a extensões semânticas ao longo do tempo."
"Língua Portuguesa","Na oração 'É imprescindível QUE TODOS CHEGUEM NO HORÁRIO', a oração subordinada em destaque funciona como:","Objeto direto do verbo 'É'.","Sujeito da oração principal (Oração Subordinada Substantiva Subjetiva).","Adjunto adnominal de 'imprescindível'.","Complemento nominal.","B","Na estrutura [Verbo de ligação + Predicativo] (É imprescindível), falta o sujeito. A oração inteira que vem em seguida ('que todos cheguem') atua como o sujeito da primeira oração."
"Língua Portuguesa","Assinale a opção que apresenta um erro no uso do acento indicador de crase:","Fomos à Bahia nas férias.","Retornaremos à São Paulo amanhã.","Refiro-me àquele professor de matemática.","A prova será das 14h às 18h.","B","A regra prática é: 'Vou A, volto DA, crase há. Vou A, volto DE, crase para quê?'. Como se diz 'Volto DE São Paulo', não se usa o artigo 'a', logo não há crase antes de São Paulo."
"Língua Portuguesa","'O relatório, O QUAL revisei ontem, apresenta falhas.' A expressão destacada pertence a qual classe gramatical?","Pronome demonstrativo.","Pronome relativo.","Conjunção subordinativa integrante.","Preposição acidental.","B","A expressão 'o qual' (e flexões) é um pronome relativo clássico, usado para retomar o substantivo antecedente ('o relatório') e evitar sua repetição."
"Língua Portuguesa","O modo verbal utilizado para expressar hipótese, dúvida, possibilidade ou desejo (ex: 'Se ele estudasse, passaria') é o:","Indicativo.","Imperativo afirmativo.","Imperativo negativo.","Subjuntivo.","D","O modo subjuntivo expressa uma ação incerta, dependente de outra ou baseada no campo das suposições."
"Língua Portuguesa","Na frase 'De repente, a porta abriu', temos um caso de derivação imprópria?","Não, pois 'abriu' continua sendo verbo.","Sim, a locução adverbial tornou-se substantivo.","Sim, pois a palavra 'porta' tornou-se verbo.","Não, mas se falarmos 'O jantar está servido', a palavra jantar sofre derivação imprópria.","D","Na palavra 'jantar' (originalmente verbo), quando precedida de artigo (O jantar), ela passa a funcionar como substantivo. Esse fenômeno de mudança de classe gramatical sem mudar a forma da palavra é a derivação imprópria."
"Língua Portuguesa","'Viajou a negócios, mas nada lucrou.' A conjunção coordenativa 'mas' estabelece relação de:","Explicação.","Adição.","Oposição (Adversidade).","Alternância.","C","A conjunção 'mas' é a principal representante das adversativas, quebrando a expectativa gerada pela oração anterior."
"Língua Portuguesa","Considerando as sequências textuais, um manual de montagem de um computador é predominantemente:","Descritivo, focando em cores e emoções.","Injuntivo/Instrucional, dando ordens e orientações.","Argumentativo, tentando convencer a não usar outras marcas.","Narrativo, contando a história do equipamento.","B","Manuais, bulas e receitas pertencem ao tipo injuntivo, pois sua essência é instruir o leitor a realizar ações (geralmente usando o verbo no imperativo ou infinitivo)."
"Legislação","A Constituição Federal, em seu art. 5º, prevê um remédio constitucional para assegurar o conhecimento de informações relativas à pessoa do impetrante constantes de registros ou bancos de dados de entidades governamentais. Qual é ele?","Mandado de Segurança.","Habeas Corpus.","Habeas Data.","Ação Civil Pública.","C","O Habeas Data (Art. 5º, LXXII) é a garantia constitucional concedida à pessoa física ou jurídica para conhecer ou retificar dados sobre si em bancos de dados públicos ou de caráter público."
"Legislação","No artigo 206 da Constituição Federal de 1988, é princípio do ensino no Brasil:","A unicidade de concepções pedagógicas obrigatórias a todas as escolas.","O ensino pago nas escolas de fronteira.","O pluralismo de ideias e de concepções pedagógicas.","A obrigatoriedade de filiação religiosa.","C","O ensino será ministrado com base no princípio do 'pluralismo de ideias e de concepções pedagógicas, e coexistência de instituições públicas e privadas de ensino'."
"Legislação","Na Lei 8.112/90, ocorre a 'vacância' do cargo público quando este fica vago. Qual das opções abaixo NÃO é uma forma de vacância?","Aposentadoria.","Falecimento.","Recondução.","Posse em outro cargo inacumulável.","C","A recondução é forma de PROVIMENTO (retorno ao cargo anterior). Formas de vacância (Art. 33) incluem: exoneração, demissão, promoção, readaptação, aposentadoria, posse em outro cargo inacumulável e falecimento."
"Legislação","A Lei 8.112/90 concede ao servidor licença por motivo de doença em pessoa da família. A remuneração dessa licença é garantida?","Sim, será com remuneração integral nos primeiros 60 dias, podendo ser prorrogada sem remuneração por mais 90 dias.","Não, esta licença é sempre não remunerada em sua totalidade.","Sim, remuneração integral até o fim do tratamento, sem limite de prazo.","Sim, recebendo 50% da remuneração desde o primeiro dia.","A","O Art. 83, § 2º, estabelece que a licença será concedida com remuneração integral por até 60 dias (consecutivos ou não) num período de 12 meses, e após isso, por até 90 dias sem remuneração."
"Legislação","A Lei de Diretrizes e Bases da Educação Nacional (LDB - Lei 9.394/96) estrutura a educação escolar brasileira em:","Ensino Primário, Secundário e Universitário.","Educação Básica (formada por educação infantil, ensino fundamental e médio) e Educação Superior.","Apenas Ensino Fundamental e Ensino Superior.","Creches, escolas técnicas e faculdades.","B","O Art. 21 da LDB determina que a educação escolar compõe-se de Educação Básica (composta de ed. infantil, ens. fundamental e ens. médio) e Educação Superior."
"Legislação","O Decreto 5.840/2006 (PROEJA) prevê cursos de educação profissional técnica de nível médio integrados ao ensino médio voltados especificamente para quem?","Crianças superdotadas em idade pré-escolar.","Servidores públicos civis que buscam ascensão funcional.","Jovens e adultos que não concluíram o ensino médio na idade regular.","Estudantes estrangeiros intercambistas.","C","O PROEJA visa oferecer a qualificação profissional em conjunto com a Educação Básica (EJA) aos jovens e adultos que ficaram defasados no sistema regular de ensino."
"Legislação","Dentre as finalidades e características dos Institutos Federais (Lei 11.892/2008), destaca-se a realização de:","Pesquisa de base, exclusivamente voltada à filosofia e teologia.","Pesquisa aplicada, estimulando o desenvolvimento de soluções tecnológicas e o empreendedorismo.","Extensão rural isolada das atividades urbanas de tecnologia.","Fiscalização tributária nas indústrias da região.","B","O Art. 6º, inciso IV, da Lei diz que é finalidade dos IFs realizar e estimular a pesquisa aplicada, a produção cultural, o empreendedorismo, o cooperativismo e o desenvolvimento científico e tecnológico."
"Legislação","No Plano de Carreiras e Cargos do EBTT (Lei 12.772/2012), a passagem do servidor de um nível para outro imediatamente superior dentro da mesma classe, pelo cumprimento de interstício de 24 meses e aprovação em avaliação de desempenho, é chamada de:","Promoção.","Reintegração.","Progressão.","Recondução.","C","No Magistério Federal, a passagem de NÍVEL dentro da mesma Classe é PROGRESSÃO. A passagem para a CLASSE seguinte é PROMOÇÃO."
"Legislação","Segundo as Regras Deontológicas do Código de Ética (Decreto 1.171/94), a verdade é um princípio basilar. Sendo assim, o servidor:","Pode omitir a verdade temporariamente para preservar o interesse de uma empresa privada parceira.","Não pode jamais omitir ou falsear a verdade, ainda que contrária aos interesses da própria pessoa interessada ou da Administração Pública.","Deve subordinar a verdade às ordens do seu chefe imediato.","Pode falsear a verdade apenas em documentos internos não divulgáveis.","B","O inciso VIII preceitua rigorosamente que o servidor não pode jamais omitir ou falsear a verdade em nenhuma circunstância no exercício de sua função."
"Legislação","A Lei Brasileira de Inclusão (LBI - Lei 13.146/15) diferencia 'Acompanhante' de 'Atendente Pessoal'. O Atendente Pessoal é:","Uma pessoa da família ou de fora, que assiste a pessoa com deficiência em suas atividades diárias, exceto quanto a técnicas que exijam profissões legalmente estabelecidas.","Qualquer médico especialista.","Aquele que se desloca com a pessoa com deficiência, sem auxiliá-la.","O cão-guia legalmente registrado.","A","O Art. 3º, inciso XII, define o atendente pessoal, que atua (com ou sem remuneração) no auxílio em atividades da vida diária da pessoa com deficiência, excluídas as atividades típicas de enfermagem/medicina."
"Legislação","A Lei 7.853/1989 (Política Nacional da Pessoa Portadora de Deficiência) criminaliza certas condutas prejudiciais. Qual das ações abaixo constitui CRIME punível com reclusão de acordo com essa lei?","Recusar, cobrar valores adicionais, suspender, procrastinar, cancelar ou fazer cessar inscrição de aluno em estabelecimento de ensino público ou privado, por motivos derivados da deficiência que porta.","Conceder vagas exclusivas em estacionamentos.","Adaptar currículos escolares sem a autorização do MEC.","Criar salas de aula exclusivas para pessoas sem deficiência, desde que haja vagas na escola regular.","A","O Art. 8º da referida Lei (e da LBI também) tipifica como crime a recusa ou criação de obstáculos à matrícula escolar em razão da deficiência da pessoa, punindo severamente a escola/gestor que comete a infração."
"Legislação","No Decreto 7.611/2011 (Educação Especial), o Atendimento Educacional Especializado (AEE) aos estudantes com deficiência é priorizado para ocorrer em que tipo de espaço?","Em escolas exclusivas para pessoas com deficiência (escolas segregadas).","Em hospitais da rede pública.","Em Salas de Recursos Multifuncionais, no contraturno das classes comuns do ensino regular.","Em domicílio, gerido pelos pais através de ensino remoto obrigatório.","C","A política de inclusão preconiza que o ensino regular seja a base. O AEE ocorre para complementar/suplementar essa base, prioritariamente no contraturno, nas salas de recursos multifuncionais da escola."
"Legislação","Conforme o Estatuto de Igualdade Racial (Lei 12.288/2010), o direito à saúde da população negra será garantido pelo poder público, com atenção especial a políticas que foquem em doenças de maior prevalência nessa população. Um exemplo clássico desta doença, expressamente mencionada na lei, é a:","Doença de Chagas.","Doença Falciforme.","Dengue.","Gripe H1N1.","B","O Estatuto prevê atenção prioritária do SUS e campanhas informativas sobre as doenças com maior incidência na população negra, destacando frequentemente o traço e a anemia falciforme (Art. 8º)."
"Legislação","No Código Penal, o crime que ocorre quando o funcionário público EXIGE tributo ou contribuição social que sabe ou deveria saber indevido, ou, quando devido, emprega na cobrança meio vexatório ou gravoso, é denominado:","Excesso de exação.","Concussão simples.","Corrupção Passiva.","Facilitação de descaminho.","A","Trata-se do crime de Excesso de Exação (Art. 316, § 1º). É uma qualificadora severa da conduta abusiva na cobrança de impostos pelo agente do Estado."
"Legislação","Na Lei de Processo Administrativo (Lei 9.784/99), a autoridade deve se abster de atuar no processo em que seja cônjuge ou parente até o terceiro grau do interessado. Essa situação caracteriza:","Suspeição.","Impedimento.","Prevaricação.","Conflito de mérito.","B","As causas objetivas de afastamento (como laço familiar ou participação direta no processo) são causas de IMPEDIMENTO (Art. 18), as quais são de declaração obrigatória pela autoridade. Inimizade ou amizade íntima é SUSPEIÇÃO (Art. 18 e 20)."
"Legislação","A Lei de Improbidade Administrativa (8.429/1992), após a reforma, exige 'DOLO' para configuração do ato de improbidade. O que se entende por dolo nesta lei?","Simples negligência ao não assinar um documento de rotina.","O resultado danoso ao erário derivado de imperícia ou incompetência na gestão.","A vontade livre e consciente de alcançar o resultado ilícito tipificado, não bastando a voluntariedade da conduta.","O descumprimento involuntário da lei de licitações.","C","A reforma (Art. 1º, § 2º) extinguiu a punição por culpa grave e consolidou que é necessário o 'dolo específico', com a intenção livre e consciente de fraudar os princípios da administração."
"Legislação","A Lei Geral de Proteção de Dados (LGPD) estabeleceu a criação de um órgão da administração pública responsável por zelar, implementar e fiscalizar o cumprimento desta lei no Brasil. Que órgão é esse?","Polícia Federal.","Autoridade Nacional de Proteção de Dados (ANPD).","Comitê Gestor da Internet no Brasil (CGI.br).","Agência Nacional de Telecomunicações (Anatel).","B","A ANPD é a autarquia especial (vinculada à presidência/Ministério da Justiça, que depois ganhou autonomia) responsável por aplicar e fiscalizar a LGPD em todo o país."
"Legislação","A Lei de Acesso à Informação (LAI - Lei 12.527/11) divide a divulgação de dados em 'transparência ativa' e 'transparência passiva'. O ato de o IFPB divulgar espontaneamente em seu site institucional todos os contratos firmados, independente de requerimento de cidadãos, é exemplo de:","Transparência Passiva.","Transparência Ativa.","Sigilo parcial.","Classificação Reservada.","B","Transparência Ativa é o dever do Estado de publicar as informações de interesse geral ou coletivo em locais de fácil acesso (geralmente na internet) de forma proativa, sem aguardar pedidos."
"Legislação","A Portaria MGI 6.719/2024 (Plano Federal de Enfrentamento do Assédio) incentiva a criação, nos órgãos públicos, de mecanismos especializados e sigilosos focados em:","Aumentar as metas de produtividade e forçar o trabalho aos finais de semana.","Oferecer canais de denúncia, acolhimento das vítimas e apuração célere com proteção contra retaliações.","Transferir a responsabilidade civil do assédio para o sindicato.","Militarizar o ambiente de trabalho.","B","O foco do plano é preventivo e protetivo, exigindo dos órgãos que criem comitês de gestão de conflitos e canais de escuta ativa que protejam a vítima e assegurem a devida apuração administrativa."
"Legislação","O Decreto 12.603/2025 institui a PNEPT. Um dos nortes desta política, visando a melhoria do país, é garantir que a educação profissional e tecnológica (oferecida nos IFs) seja fortemente articulada com:","O isolamento geopolítico regional.","A restrição da aprendizagem prática apenas a indústrias estatais.","As diretrizes de arranjos produtivos locais (APL), sociais e culturais, promovendo o desenvolvimento regional.","A substituição total da inteligência humana pela inteligência artificial nos cursos superiores.","C","A Educação Profissional Tecnológica no Brasil foca tradicionalmente na integração com o desenvolvimento socioeconômico regional e local, respondendo às demandas dos arranjos produtivos e comunitários da área de influência da instituição."
