"assunto","enunciado","a","b","c","d","correta","justificativa"
"Informática","Em administração de sistemas Windows Server, o Active Directory (AD) organiza recursos da rede. Qual o nome dado a um limite lógico e administrativo dentro do AD que possui seu próprio banco de dados de segurança e políticas?","Pasta Compartilhada.","Domínio (Domain).","Grupo de Trabalho (Workgroup).","Endereço MAC.","B","O Domínio é a unidade lógica primária no Active Directory que compartilha um banco de dados de diretório comum e políticas de segurança unificadas."
"Informática","O mecanismo usado por balanceadores de carga que distribui requisições de clientes de maneira sequencial e circular para cada servidor do pool é conhecido como:","Least Connections.","Round Robin.","IP Hash.","Spanning Tree.","B","Round Robin é um dos algoritmos mais simples e comuns de balanceamento de carga, enviando cada nova requisição sequencialmente para o próximo servidor na lista."
"Informática","O protocolo FTP pode operar nos modos Ativo e Passivo. No modo Passivo (PASV), qual é o comportamento da conexão de dados?","O servidor inicia a conexão de dados de volta para o cliente.","Ambas as portas de controle e de dados usam a porta 21 exclusivamente.","O cliente inicia a conexão de dados para uma porta não privilegiada do servidor.","A transferência de dados ocorre criptografada utilizando algoritmos RSA.","C","No modo Passivo, o cliente inicia tanto a conexão de controle quanto a conexão de dados (para uma porta alta enviada pelo servidor), o que facilita a travessia de firewalls e NAT do lado do cliente."
"Língua Portuguesa","A sequência textual caracterizada por descrever as propriedades, as qualidades e os detalhes físicos ou psicológicos de seres, objetos ou lugares, muitas vezes com uso abundante de adjetivos, é a:","Narrativa.","Descritiva.","Injuntiva.","Argumentativa.","B","A sequência descritiva tem como objetivo apresentar as características de algo ou alguém, criando uma imagem mental para o leitor. O uso de adjetivos e verbos de estado é predominante."
"Língua Portuguesa","A publicação de um Edital de Concurso Público enquadra-se predominantemente em qual gênero textual e carrega qual tipologia?","Gênero jornalístico, tipologia narrativa.","Gênero normativo/oficial, tipologia injuntiva/instrucional.","Gênero literário, tipologia descritiva.","Gênero publicitário, tipologia dialogal.","B","O edital é um documento oficial de caráter normativo que dita regras e instruções (o que o candidato deve fazer), caracterizando fortemente a sequência injuntiva."
"Língua Portuguesa","Considere a frase: 'Só desejamos isto: que todos sejam aprovados'. O pronome 'isto' desempenha uma função de coesão:","Anafórica, retomando uma ideia já expressa.","Catafórica, anunciando uma ideia que será dita a seguir.","Dêitica de lugar.","Elíptica.","B","A catáfora ocorre quando um pronome antecipa uma informação que ainda vai ser apresentada no texto (no caso, a oração 'que todos sejam aprovados')."
"Língua Portuguesa","Assinale a alternativa que preenche corretamente a lacuna: 'A estrada _____ passamos estava esburacada'.","por que","porque","por quê","porquê","A","Usa-se 'por que' (separado e sem acento) quando equivale a 'pela qual' (A estrada pela qual passamos)."
"Língua Portuguesa","De acordo com a norma-padrão de acentuação gráfica, qual monossílabo tônico NÃO recebe acento gráfico?","Pó","Vá","Mês","Vez","D","Acentuam-se os monossílabos tônicos terminados em a(s), e(s), o(s). A palavra 'vez' termina em 'z', logo, não é acentuada."
"Língua Portuguesa","Indique a frase onde a crase foi empregada CORRETAMENTE antes de uma palavra masculina:","Fomos à pé até o centro.","O poeta escrevia poemas à Camões.","Entregou o documento à João.","O pagamento foi feito à prazo.","B","A crase antes de palavra masculina só é permitida quando está subentendida a expressão 'à moda de' ou 'à maneira de' (à moda de Camões)."
"Língua Portuguesa","Sobre pontuação, assinale a oração na qual a vírgula antes da conjunção 'e' é justificada pela norma gramatical:","Fui ao mercado, e comprei pão.","João estudou, e Maria assistiu televisão.","Acordei cedo, e fui trabalhar.","Ele era inteligente, e dedicado.","B","A vírgula antes da conjunção 'e' é admitida e recomendada quando liga orações com sujeitos diferentes (João / Maria)."
"Língua Portuguesa","Assinale a frase em que a concordância nominal apresenta um ERRO:","A porta estava meio aberta.","Ela mesma organizou os arquivos.","Naquela tarde, havia menas pessoas no parque.","É proibida a entrada de estranhos.","C","A palavra 'menos' é invariável. Não existe a forma 'menas' na língua portuguesa, independentemente do gênero do substantivo a que se refere."
"Língua Portuguesa","Assinale a alternativa correta quanto à concordância verbal com o verbo 'fazer' indicando tempo decorrido:","Fazem dez anos que não nos vemos.","Fazem dez anos que não nos vemos. (Repetida intencionalmente)","Faz dez anos que não nos vemos.","Faziam dez anos que não nos víamos. (Pluralizando o faz).","C","O verbo 'fazer', quando indica tempo decorrido ou fenômeno da natureza, é impessoal, não possui sujeito e deve permanecer na 3ª pessoa do singular."
"Língua Portuguesa","Qual é a preposição exigida pela regência do substantivo 'simpatia'?","Para.","Em.","Por.","A.","C","Quem tem simpatia, tem simpatia POR algo ou alguém (Ex: Tenho grande simpatia por você)."
"Língua Portuguesa","Na frase 'A decisão do juiz não agradou ___ torcedores', a regência do verbo 'agradar' no sentido de 'satisfazer' exige:","ao","aos","os","nos","B","No sentido de causar agrado, satisfazer ou contentar, o verbo 'agradar' é transitivo indireto e exige a preposição 'a'. Portanto: não agradou aos torcedores."
"Língua Portuguesa","Em 'O diretor considerou o projeto EXCELENTE', a função sintática da palavra em destaque é:","Adjunto adnominal.","Predicativo do sujeito.","Predicativo do objeto.","Complemento nominal.","C","A palavra 'excelente' atribui uma qualidade ao objeto direto 'o projeto', caracterizando-se como predicativo do objeto."
"Língua Portuguesa","As orações subordinadas adjetivas são divididas em restritivas e explicativas. Qual é a marca gráfica fundamental que diferencia a Explicativa da Restritiva na escrita?","A explicativa é iniciada por conjunção integrante.","A explicativa é sempre separada por vírgulas.","A restritiva utiliza o pronome cujo obrigatoriamente.","A restritiva é introduzida por verbo no gerúndio.","B","A oração subordinada adjetiva explicativa, por acrescentar um detalhe ou explicação a um termo já definido (como um aposto), é isolada por vírgulas."
"Língua Portuguesa","As palavras 'logo', 'portanto' e 'por conseguinte' pertencem à classe de conjunções que expressam ideia de:","Adição.","Oposição.","Conclusão.","Causa.","C","São conjunções coordenativas conclusivas, usadas para introduzir uma dedução ou conclusão decorrente das premissas anteriores."
"Língua Portuguesa","Na oração 'Ela falou tranquilamente sobre o assunto', a palavra 'tranquilamente' é um:","Adjetivo que modifica o sujeito.","Advérbio de intensidade.","Advérbio de modo.","Substantivo abstrato.","C","O advérbio 'tranquilamente' modifica o verbo 'falou', indicando a maneira ou o modo como a ação foi executada."
"Língua Portuguesa","Na relação semântica, o termo 'Pássaro' em relação a 'Canário' é classificado como:","Sinônimo perfeito.","Hiperônimo.","Hipônimo.","Parônimo.","B","Hiperônimo é a palavra de sentido mais geral ou abrangente (pássaro), enquanto hipônimo é a de sentido mais restrito e específico (canário)."
"Língua Portuguesa","Considerando a homonímia, assinale a alternativa que completa corretamente: 'Levou a televisão para o _______' e 'Foi assistir a um _______ de música clássica'.","conserto / conserto","concerto / concerto","conserto / concerto","concerto / conserto","C","'Conserto' (com S) significa reparo/ajuste. 'Concerto' (com C) refere-se a um espetáculo musical ou acordo."
"Língua Portuguesa","O pronome relativo 'onde' atua como recurso coesivo espacial. Qual frase apresenta seu uso INCORRETO segundo a norma-padrão?","A casa onde moro é antiga.","Conheci uma cidade onde chove muito.","Este é o momento onde precisamos ter calma.","A rua onde ocorreu o acidente foi bloqueada.","C","O pronome 'onde' só pode ser utilizado para retomar lugares físicos. Na opção C, 'momento' é tempo (o correto seria 'no qual' ou 'em que')."
"Língua Portuguesa","Quando o verbo 'comprar' dá origem ao substantivo 'compra', dizemos que ocorreu o processo de formação de palavras por:","Derivação sufixal.","Composição por justaposição.","Derivação regressiva.","Derivação imprópria.","C","A derivação regressiva ocorre quando há redução da palavra primitiva. Geralmente forma substantivos abstratos indicadores de ação a partir de verbos (comprar -> a compra)."
"Legislação","A Constituição Federal (Art. 37) consagra o princípio que exige que a Administração Pública atue não apenas de acordo com a lei formal, mas também com ética, honestidade e boa-fé. Esse é o princípio da:","Legalidade.","Impessoalidade.","Eficiência.","Moralidade.","D","O Princípio da Moralidade obriga o agente público a atuar de forma proba, ética e honesta, separando o que é justo do que é injusto."
"Legislação","De acordo com o Art. 205 da Constituição Federal, a educação, direito de todos, é dever de quem?","Apenas do Estado.","Do Estado e da família.","Exclusivamente do Ministério da Educação.","Da sociedade privada e do Estado.","B","O art. 205 define que a educação, direito de todos e dever do Estado e da família, será promovida e incentivada com a colaboração da sociedade."
"Legislação","Segundo a Lei 8.112/90, a forma de provimento que consiste na investidura do servidor em cargo de atribuições e responsabilidades compatíveis com a limitação que tenha sofrido em sua capacidade física ou mental, verificada em inspeção médica, é a:","Readaptação.","Reversão.","Reintegração.","Recondução.","A","Conforme o Art. 24 da Lei 8.112/90, a readaptação é destinada ao servidor que sofreu limitação na capacidade física ou mental."
"Legislação","A Lei 8.112/90 prevê parcelas pecuniárias que NÃO se incorporam ao vencimento ou provento do servidor para qualquer efeito. Qual das opções abaixo é exclusivamente composta por tais parcelas?","Vencimento básico e Anuênios.","Indenizações (ajuda de custo, diárias, transporte e auxílio-moradia).","Gratificação natalina e Adicional de Insalubridade.","Adicional noturno e Funções de Confiança.","B","O Art. 49 e seus parágrafos estabelecem que as indenizações (como diárias, ajuda de custo e auxílio-moradia) não se incorporam ao vencimento."
"Legislação","A Lei de Diretrizes e Bases (LDB - 9.394/96) dispõe sobre a Educação de Jovens e Adultos (EJA). Quais as idades mínimas para a realização de exames de conclusão da EJA para o ensino fundamental e o ensino médio, respectivamente?","14 e 17 anos.","15 e 18 anos.","16 e 18 anos.","15 e 21 anos.","B","Segundo o Art. 38, § 1º, os exames supletivos realizar-se-ão maiores de 15 anos para o ensino fundamental, e maiores de 18 anos para o ensino médio."
"Legislação","A Lei 11.892/2008 estabelece que os Institutos Federais devem destinar um percentual mínimo do seu orçamento de vagas para cursos de licenciatura e programas de formação de professores. Esse percentual é de:","10%.","20%.","30%.","50%.","B","O Art. 8º, § 1º determina que, no mínimo, 20% das vagas devem ser destinadas para cursos de licenciatura, bem como para programas especiais de formação pedagógica."
"Legislação","Na Carreira do Magistério EBTT (Lei 12.772/12), o instituto do RSC (Reconhecimento de Saberes e Competências) permite que o docente receba a Retribuição por Titulação (RT) equivalente a um grau acadêmico superior. O RSC garante a promoção para a classe seguinte da carreira?","Sim, o RSC concede automaticamente o título de Mestre ou Doutor.","Sim, dispensa qualquer interstício para progressão.","Não, o RSC gera efeitos apenas financeiros para fins de percepção da RT, não equivalendo a título acadêmico para outras finalidades.","Não, o RSC só é válido para fins de aposentadoria.","C","O Art. 18, § 1º, da Lei 12.772/12, deixa claro que o RSC gera efeitos financeiros para recebimento da Retribuição por Titulação, mas não supre a exigência de titulação acadêmica stricto sensu para promoção de classes."
"Legislação","Segundo as regras deontológicas do Código de Ética Profissional do Servidor (Decreto 1.171/94), a ausência injustificada do servidor de seu local de trabalho causa:","Apenas perda na remuneração do dia.","Nenhum prejuízo real se ele compensar depois.","Prejuízo exclusivamente à chefia imediata.","Dano ao serviço público e desordem nas relações humanas, além de ser fator de desmoralização.","D","O inciso XII estabelece que a ausência injustificada é fator de desmoralização do serviço público, pois quase sempre conduz à desordem nas relações humanas e gera dano."
"Legislação","A Lei Brasileira de Inclusão (Lei 13.146/15) define 'Desenho Universal' como:","Projetos arquitetônicos voltados exclusivamente para hospitais.","Concepção de produtos, ambientes, programas e serviços a serem usados por todas as pessoas, sem necessidade de adaptação ou projeto específico.","Um padrão estético importado da Europa.","Equipamentos hospitalares de reabilitação motora.","B","O Art. 3º, inciso II, define o Desenho Universal como a concepção de espaços e produtos que possam ser utilizados pelo maior número de pessoas possível, independentemente de suas limitações físicas."
"Legislação","Conforme o Decreto 7.611/2011, o Atendimento Educacional Especializado (AEE) tem como uma de suas funções em relação à formação dos estudantes com deficiência:","Substituir totalmente o ensino regular presencial.","Complementar ou suplementar a formação dos estudantes, não sendo substitutivo à escolarização.","Reduzir a carga horária do aluno para facilitar a aprovação.","Fornecer diplomas diferenciados e com restrições.","B","O Art. 2º, § 1º, esclarece que o AEE deve complementar a formação (para alunos com deficiência/transtorno global) ou suplementar (para altas habilidades/superdotação), nunca substituir a escola."
"Legislação","O Estatuto de Igualdade Racial (Lei 12.288/2010) define a população negra como:","Somente os cidadãos que se declaram pretos.","O conjunto de pessoas que se autodeclaram pretas e pardas, conforme o quesito cor ou raça usado pelo IBGE.","As pessoas com certificado de origem emitido pela Fundação Palmares.","Qualquer cidadão brasileiro nascido no país.","B","O Art. 1º, § 1º, inciso IV, define população negra como o conjunto de pessoas que se autodeclaram pretas e pardas, baseando-se no padrão IBGE."
"Legislação","O crime contra a Administração Pública no qual o servidor retarda ou deixa de praticar, indevidamente, ato de ofício para satisfazer interesse ou sentimento pessoal, é o de:","Corrupção Passiva.","Concussão.","Prevaricação.","Condescendência criminosa.","C","Previsto no Art. 319 do Código Penal, a prevaricação tem como elemento subjetivo específico o objetivo de 'satisfazer interesse ou sentimento pessoal'."
"Legislação","De acordo com a Lei de Processo Administrativo Federal (Lei 9.784/99), o direito da Administração de anular os atos administrativos de que decorram efeitos favoráveis para os destinatários decai em quanto tempo, contados de sua prática, salvo comprovada má-fé?","1 ano.","3 anos.","5 anos.","10 anos.","C","O Art. 54 da Lei estipula o prazo decadencial de 5 (cinco) anos para a Administração anular atos ilegais que favoreçam terceiros de boa-fé."
"Legislação","De acordo com as recentes alterações na Lei de Improbidade Administrativa (Lei 8.429/92), a sanção de suspensão dos direitos políticos por ato que importa enriquecimento ilícito pode ser de até:","5 anos.","8 anos.","12 anos.","14 anos.","D","O Art. 12, inciso I, da LIA (com redação dada pela Lei 14.230/2021) estipula para o enriquecimento ilícito a suspensão dos direitos políticos por até 14 anos."
"Legislação","No contexto da LGPD (Lei 13.709/2018), o tratamento de dados pessoais somente poderá ser realizado mediante hipóteses (bases legais) específicas. Qual das abaixo NÃO é uma base legal prevista na lei?","Mediante o fornecimento de consentimento pelo titular.","Para o cumprimento de obrigação legal ou regulatória pelo controlador.","Para execução de contrato no qual o titular é parte.","Por simples curiosidade comercial e conveniência financeira do operador, desde que os dados não sejam vendidos.","D","O Art. 7º da LGPD traz as 10 bases legais para o tratamento de dados. 'Curiosidade' ou 'conveniência' não são bases legais. É preciso consentimento, obrigação legal, execução de contrato, legítimo interesse, etc."
"Legislação","Segundo a Lei de Acesso à Informação (Lei 12.527/2011), informações ou documentos que versem sobre condutas que impliquem violação dos direitos humanos praticada por agentes públicos ou a mando de autoridades públicas:","Devem ser classificados como ultrassecretos por 25 anos.","Serão mantidos em sigilo eterno para proteger o Estado.","Não poderão ser objeto de restrição de acesso.","Dependerão de autorização presidencial para divulgação após 10 anos.","C","O Art. 21, parágrafo único, da LAI é claro ao afirmar que não se pode restringir o acesso a informações que versem sobre violação de direitos humanos praticada por agentes ou autoridades."
"Legislação","A PNEPT e o SINAEPT, estabelecidos pelo Decreto 12.603/2025, visam articular a educação profissional e tecnológica. O SINAEPT tem caráter:","Exclusivamente punitivo para fechar escolas com baixo desempenho.","Avaliativo para coletar taxas apenas do ensino privado.","Diagnóstico, formativo e de indução da qualidade da educação profissional e tecnológica.","Meramente cerimonial, premiando reitores.","C","O Sistema Nacional de Avaliação tem caráter diagnóstico e formativo, focado em promover a melhoria contínua e garantir padrões de qualidade na oferta dos cursos."
"Legislação","De acordo com a Lei 8.112/90, qual das infrações abaixo acarreta a penalidade de demissão?","Ausentar-se do serviço durante o expediente, sem prévia autorização.","Promover manifestação de apreço ou desapreço no recinto da repartição.","Recusar fé a documentos públicos.","Aplicação irregular de dinheiros públicos.","D","O Art. 132 elenca os casos de demissão. Enquanto ausência, manifestação e recusa de fé a documentos são passiveis de advertência (Art. 129/117), a aplicação irregular de dinheiro público gera demissão (Art. 132, VIII)."
"Legislação","O Decreto 5.154/2004 determina que a educação profissional tecnológica de graduação e pós-graduação organizar-se-á para superar as demandas tecnológicas, com o intuito de formar:","Mão de obra operária braçal com nível superior.","Trabalhadores exclusivamente para a agropecuária de subsistência.","Profissionais para os diferentes setores da economia, abrangendo processos de pesquisa e inovação tecnológica.","Filósofos e teólogos teóricos sem aplicação prática industrial.","C","A educação tecnológica de nível superior (tecnólogos, mestrados/doutorados profissionais) foca no desenvolvimento, na pesquisa e na inovação, atendendo a demandas complexas da economia e da sociedade."
"Legislação","Qual órgão é a instância máxima de deliberação nos Institutos Federais (Lei 11.892/2008), possuindo caráter consultivo e deliberativo, com representação da comunidade escolar e da sociedade civil?","Colégio de Dirigentes.","Reitoria.","Conselho Superior.","Ministério da Educação.","C","O Art. 10 da Lei 11.892/2008 define o Conselho Superior (CONSUPER) como o órgão máximo da instituição, de caráter consultivo e deliberativo, com representação de docentes, alunos, técnicos e sociedade."
